;v0.3.135e1_chain8_Inc-CL_Ligne_8Summ
Global Max size of {Request} received (max) ;18;
Nb of {Request} received (avg) ;154.0;
Nb of {Request} received (stddev) ;0.0;
Nb of {Request} received (min) ;154;
Nb of {Request} received (max) ;154;
Total size of {Request} received (avg) ;2772.0;
Total size of {Request} received (stddev) ;0.0;
Total size of {Request} received (min) ;2772;
Total size of {Request} received (max) ;2772;
Global Max size of {Argue} received (avg) ;14.0;
Global Max size of {Argue} received (stddev) ;0.0;
Global Max size of {Argue} received (min) ;14;
Global Max size of {Argue} received (max) ;14;
Nb of {Argue} received (avg) ;33.0;
Nb of {Argue} received (stddev) ;0.0;
Nb of {Argue} received (min) ;33;
Nb of {Argue} received (max) ;33;
Total size of {Argue} received (avg) ;436.0;
Total size of {Argue} received (stddev) ;0.0;
Total size of {Argue} received (min) ;436;
Total size of {Argue} received (max) ;436;
Global Max size of {Acknowledge} received (avg) ;2.0;
Global Max size of {Acknowledge} received (stddev) ;0.0;
Global Max size of {Acknowledge} received (min) ;2;
Global Max size of {Acknowledge} received (max) ;2;
Nb of {Acknowledge} received (avg) ;274.0;
Nb of {Acknowledge} received (stddev) ;0.0;
Nb of {Acknowledge} received (min) ;274;
Nb of {Acknowledge} received (max) ;274;
Total size of {Acknowledge} received (avg) ;548.0;
Total size of {Acknowledge} received (stddev) ;0.0;
Total size of {Acknowledge} received (min) ;548;
Total size of {Acknowledge} received (max) ;548;
Global Max size of {Completeness counter-example} received (avg) ;7.0;
Global Max size of {Completeness counter-example} received (stddev) ;0.0;
Global Max size of {Completeness counter-example} received (min) ;7;
Global Max size of {Completeness counter-example} received (max) ;7;
Nb of {Completeness counter-example} received (avg) ;40.0;
Nb of {Completeness counter-example} received (stddev) ;0.0;
Nb of {Completeness counter-example} received (min) ;40;
Nb of {Completeness counter-example} received (max) ;40;
Total size of {Completeness counter-example} received (avg) ;280.0;
Total size of {Completeness counter-example} received (stddev) ;0.0;
Total size of {Completeness counter-example} received (min) ;280;
Total size of {Completeness counter-example} received (max) ;280;
Global Max size of {Propose again} received (avg) ;32.0;
Global Max size of {Propose again} received (stddev) ;0.0;
Global Max size of {Propose again} received (min) ;32;
Global Max size of {Propose again} received (max) ;32;
Nb of {Propose again} received (avg) ;130.0;
Nb of {Propose again} received (stddev) ;0.0;
Nb of {Propose again} received (min) ;130;
