;v0.3.1395e1_chain8-2_Inc-CL_Clique_2All
Min of total size of solve for covered manif. (avg) ;117.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;117;
Min of total size of solve for covered manif. (max) ;117;
Min of max size of solve for covered manif. (avg) ;16.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;16;
Min of max size of solve for covered manif. (max) ;16;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;21.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;21;
Sum of nb of solve for covered manif. (max) ;21;
Sum of total size of solve for covered manif. (avg) ;287.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;287;
Sum of total size of solve for covered manif. (max) ;287;
Sum of max size of solve for covered manif. (avg) ;42.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;42;
Sum of max size of solve for covered manif. (max) ;42;
Sum of min size of solve for covered manif. (avg) ;11.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;11;
Sum of min size of solve for covered manif. (max) ;11;
Average of nb of solve for covered manif. (avg) ;10.5;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;10.5;
Average of nb of solve for covered manif. (max) ;10.5;
Average of total size of solve for covered manif. (avg) ;143.5;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;143.5;
Average of total size of solve for covered manif. (max) ;143.5;
Average of max size of solve for covered manif. (avg) ;21.0;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;21.0;
Average of max size of solve for covered manif. (max) ;21.0;
Average of min size of solve for covered manif. (avg) ;5.5;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;5.5;
Average of min size of solve for covered manif. (max) ;5.5;
Standard deviation of nb of solve for covered manif. (avg) ;0.5;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;0.5;
Standard deviation of nb of solve for covered manif. (max) ;0.5;
Standard deviation of total size of solve for covered manif. (avg) ;26.5;
Standard deviation of total size of solve for covered manif. (stddev) ;0.0;
Standard deviation of total size of solve for covered manif. (min) ;26.5;
Standard deviation of total size of solve for covered manif. (max) ;26.5;
Standard deviation of max size of solve for covered manif. (avg) ;5.0;
Standard deviation of max size of solve for covered manif. (stddev) ;0.0;
Standard deviation of max size of solve for covered manif. (min) ;5.0;
Standard deviation of max size of solve for covered manif. (max) ;5.0;
Standard deviation of min size of solve for covered manif. (avg) ;2.5;
Standard deviation of min size of solve for covered manif. (stddev) ;0.0;
Standard deviation of min size of solve for covered manif. (min) ;2.5;
Standard deviation of min size of solve for covered manif. (max) ;2.5;
Product of nb of solve for prove manif (avg) ;25.0;
Product of nb of solve for prove manif (stddev) ;0.0;
Product of nb of solve for prove manif (min) ;25;
Product of nb of solve for prove manif (max) ;25;
Product of total size of solve for prove manif (avg) ;18908.0;
Product of total size of solve for prove manif (stddev) ;0.0;
Product of total size of solve for prove manif (min) ;18908;
