;v0.3.1395e1_DAREscheduleBisW2_Inc_DARE_8All
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;36;
Sum of min size of solve for own context (max) ;36;
Average of nb of solve for own context (avg) ;182.375;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;182.375;
Average of nb of solve for own context (max) ;182.375;
Average of total size of solve for own context (avg) ;7297.75;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;7297.75;
Average of total size of solve for own context (max) ;7297.75;
Average of max size of solve for own context (avg) ;144.875;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;144.875;
Average of max size of solve for own context (max) ;144.875;
Average of min size of solve for own context (avg) ;4.5;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.5;
Average of min size of solve for own context (max) ;4.5;
Standard deviation of nb of solve for own context (avg) ;167.3080523316197;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;167.3080523316197;
Standard deviation of nb of solve for own context (max) ;167.3080523316197;
Standard deviation of total size of solve for own context (avg) ;6730.898635212092;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;6730.898635212092;
Standard deviation of total size of solve for own context (max) ;6730.898635212092;
Standard deviation of max size of solve for own context (avg) ;72.95450208863055;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;72.95450208863055;
Standard deviation of max size of solve for own context (max) ;72.95450208863055;
Standard deviation of min size of solve for own context (avg) ;1.3228756555322954;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;1.3228756555322954;
Standard deviation of min size of solve for own context (max) ;1.3228756555322954;
Product of nb of solve for external context (avg) ;5.6234530179586888E18;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;5623453017958688640;
Product of nb of solve for external context (max) ;5623453017958688640;
Product of total size of solve for external context (avg) ;-7.7519146086685286E18;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;-7751914608668528256;
Product of total size of solve for external context (max) ;0;
Product of max size of solve for external context (avg) ;1.7377175005425E16;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;17377175005425000;
Product of max size of solve for external context (max) ;17377175005425000;
Product of min size of solve for external context (avg) ;1024.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;1024;
Product of min size of solve for external context (max) ;1024;
Max of nb of solve for external context (avg) ;644.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;644;
Max of nb of solve for external context (max) ;644;
Max of total size of solve for external context (avg) ;12166.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;12166;
Max of total size of solve for external context (max) ;12166;
Max of max size of solve for external context (avg) ;222.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;222;
Max of max size of solve for external context (max) ;222;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;85.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;85;
Min of nb of solve for external context (max) ;85;
Min of total size of solve for external context (avg) ;1054.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;1054;
Min of total size of solve for external context (max) ;1054;
Min of max size of solve for external context (avg) ;68.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;68;
Min of max size of solve for external context (max) ;68;
Min of min size of solve for external context (avg) ;1.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;1;
Min of min size of solve for external context (max) ;1;
Sum of nb of solve for external context (avg) ;2088.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;2088;
Sum of nb of solve for external context (max) ;2088;
Sum of total size of solve for external context (avg) ;37640.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;37640;
Sum of total size of solve for external context (max) ;37640;
Sum of max size of solve for external context (avg) ;934.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;934;
Sum of max size of solve for external context (max) ;934;
Sum of min size of solve for external context (avg) ;23.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;23;
Sum of min size of solve for external context (max) ;23;
Average of nb of solve for external context (avg) ;261.0;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;261.0;
Average of nb of solve for external context (max) ;261.0;
Average of total size of solve for external context (avg) ;4705.0;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;4705.0;
Average of total size of solve for external context (max) ;4705.0;
Average of max size of solve for external context (avg) ;116.75;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;116.75;
Average of max size of solve for external context (max) ;116.75;
Average of min size of solve for external context (avg) ;2.875;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;2.875;
Average of min size of solve for external context (max) ;2.875;
Standard deviation of nb of solve for external context (avg) ;163.58484037342825;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;163.58484037342825;
Standard deviation of nb of solve for external context (max) ;163.58484037342825;
Standard deviation of total size of solve for external context (avg) ;3721.2311134891906;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;3721.2311134891906;
Standard deviation of total size of solve for external context (max) ;3721.2311134891906;
Standard deviation of max size of solve for external context (avg) ;50.45480651038115;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;50.45480651038115;
Standard deviation of max size of solve for external context (max) ;50.45480651038115;
Standard deviation of min size of solve for external context (avg) ;1.4523687548277813;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;1.4523687548277813;
Standard deviation of min size of solve for external context (max) ;1.4523687548277813;
Product of nb of solve for covered manif. (avg) ;8.12505373277808E17;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;812505373277808000;
Product of nb of solve for covered manif. (max) ;812505373277808000;
Product of total size of solve for covered manif. (avg) ;4.5290263022198108E18;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;4529026302219810816;
Product of total size of solve for covered manif. (max) ;4529026302219810816;
Product of max size of solve for covered manif. (avg) ;2.7948718923642E14;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;279487189236420;
Product of max size of solve for covered manif. (max) ;279487189236420;
Product of min size of solve for covered manif. (avg) ;6561.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;6561;
Product of min size of solve for covered manif. (max) ;6561;
Max of nb of solve for covered manif. (avg) ;410.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;410;
Max of nb of solve for covered manif. (max) ;410;
Max of total size of solve for covered manif. (avg) ;11367.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;11367;
Max of total size of solve for covered manif. (max) ;11367;
Max of max size of solve for covered manif. (avg) ;124.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;124;
Max of max size of solve for covered manif. (max) ;124;
Max of min size of solve for covered manif. (avg) ;3.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;3;
Max of min size of solve for covered manif. (max) ;3;
Min of nb of solve for covered manif. (avg) ;100.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;100;
Min of nb of solve for covered manif. (max) ;100;
Min of total size of solve for covered manif. (avg) ;1802.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;1802;
Min of total size of solve for covered manif. (max) ;1802;
Min of max size of solve for covered manif. (avg) ;51.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;51;
Min of max size of solve for covered manif. (max) ;51;
