;v0.3.12e10_exEcai-3ag_Inc-CL_Ligne_3Summ
Global Max size of {Withdraw} sent (min) ;2;
Global Max size of {Withdraw} sent (max) ;2;
Nb of {Withdraw} sent (avg) ;1.0;
Nb of {Withdraw} sent (stddev) ;0.0;
Nb of {Withdraw} sent (min) ;1;
Nb of {Withdraw} sent (max) ;1;
Total size of {Withdraw} sent (avg) ;3.0;
Total size of {Withdraw} sent (stddev) ;0.0;
Total size of {Withdraw} sent (min) ;3;
Total size of {Withdraw} sent (max) ;3;
Global Max size of {Ask other hypothesis} sent (avg) ;10.0;
Global Max size of {Ask other hypothesis} sent (stddev) ;0.0;
Global Max size of {Ask other hypothesis} sent (min) ;10;
Global Max size of {Ask other hypothesis} sent (max) ;10;
Nb of {Ask other hypothesis} sent (avg) ;1.0;
Nb of {Ask other hypothesis} sent (stddev) ;0.0;
Nb of {Ask other hypothesis} sent (min) ;1;
Nb of {Ask other hypothesis} sent (max) ;1;
Total size of {Ask other hypothesis} sent (avg) ;11.0;
Total size of {Ask other hypothesis} sent (stddev) ;0.0;
Total size of {Ask other hypothesis} sent (min) ;11;
Total size of {Ask other hypothesis} sent (max) ;11;
Global Max size of {Argue} sent (avg) ;20.0;
Global Max size of {Argue} sent (stddev) ;0.0;
Global Max size of {Argue} sent (min) ;20;
Global Max size of {Argue} sent (max) ;20;
Nb of {Argue} sent (avg) ;5.0;
Nb of {Argue} sent (stddev) ;0.0;
Nb of {Argue} sent (min) ;5;
Nb of {Argue} sent (max) ;5;
Total size of {Argue} sent (avg) ;94.0;
Total size of {Argue} sent (stddev) ;0.0;
Total size of {Argue} sent (min) ;94;
Total size of {Argue} sent (max) ;94;
Global Max size of {New neighbour} received (avg) ;0.0;
Global Max size of {New neighbour} received (stddev) ;0.0;
Global Max size of {New neighbour} received (min) ;0;
Global Max size of {New neighbour} received (max) ;0;
Nb of {New neighbour} received (avg) ;4.0;
Nb of {New neighbour} received (stddev) ;0.0;
Nb of {New neighbour} received (min) ;4;
Nb of {New neighbour} received (max) ;4;
Total size of {New neighbour} received (avg) ;0.0;
Total size of {New neighbour} received (stddev) ;0.0;
Total size of {New neighbour} received (min) ;0;
Total size of {New neighbour} received (max) ;0;
Global Max size of {Start} received (avg) ;0.0;
Global Max size of {Start} received (stddev) ;0.0;
Global Max size of {Start} received (min) ;0;
Global Max size of {Start} received (max) ;0;
Nb of {Start} received (avg) ;3.0;
Nb of {Start} received (stddev) ;0.0;
Nb of {Start} received (min) ;3;
Nb of {Start} received (max) ;3;
Total size of {Start} received (avg) ;0.0;
Total size of {Start} received (stddev) ;0.0;
Total size of {Start} received (min) ;0;
Total size of {Start} received (max) ;0;
Global Max size of {Launch} received (avg) ;0.0;
Global Max size of {Launch} received (stddev) ;0.0;
Global Max size of {Launch} received (min) ;0;
Global Max size of {Launch} received (max) ;0;
Nb of {Launch} received (avg) ;-1.0;
Nb of {Launch} received (stddev) ;0.0;
Nb of {Launch} received (min) ;-1;
Nb of {Launch} received (max) ;0;
Total size of {Launch} received (avg) ;-2.0;
Total size of {Launch} received (stddev) ;0.0;
Total size of {Launch} received (min) ;-2;
Total size of {Launch} received (max) ;0;
Global Max size of {Accept Request} received (avg) ;10.0;
Global Max size of {Accept Request} received (stddev) ;0.0;
Global Max size of {Accept Request} received (min) ;10;
Global Max size of {Accept Request} received (max) ;10;
Nb of {Accept Request} received (avg) ;3.0;
Nb of {Accept Request} received (stddev) ;0.0;
Nb of {Accept Request} received (min) ;3;
Nb of {Accept Request} received (max) ;3;
Total size of {Accept Request} received (avg) ;39.0;
Total size of {Accept Request} received (stddev) ;0.0;
Total size of {Accept Request} received (min) ;39;
Total size of {Accept Request} received (max) ;39;
Global Max size of {Confirm context} received (avg) ;45.0;
Global Max size of {Confirm context} received (stddev) ;0.0;
Global Max size of {Confirm context} received (min) ;45;
Global Max size of {Confirm context} received (max) ;45;
Nb of {Confirm context} received (avg) ;12.0;
Nb of {Confirm context} received (stddev) ;0.0;
Nb of {Confirm context} received (min) ;12;
Nb of {Confirm context} received (max) ;12;
Total size of {Confirm context} received (avg) ;225.0;
Total size of {Confirm context} received (stddev) ;0.0;
Total size of {Confirm context} received (min) ;225;
Total size of {Confirm context} received (max) ;225;
Global Max size of {Deny} received (avg) ;32.0;
Global Max size of {Deny} received (stddev) ;0.0;
Global Max size of {Deny} received (min) ;32;
Global Max size of {Deny} received (max) ;32;
Nb of {Deny} received (avg) ;5.0;
Nb of {Deny} received (stddev) ;0.0;
Nb of {Deny} received (min) ;5;
Nb of {Deny} received (max) ;5;
Total size of {Deny} received (avg) ;104.0;
Total size of {Deny} received (stddev) ;0.0;
Total size of {Deny} received (min) ;104;
Total size of {Deny} received (max) ;104;
Global Max size of {Propose} received (avg) ;61.0;
Global Max size of {Propose} received (stddev) ;0.0;
Global Max size of {Propose} received (min) ;61;
Global Max size of {Propose} received (max) ;61;
Nb of {Propose} received (avg) ;13.0;
Nb of {Propose} received (stddev) ;0.0;
Nb of {Propose} received (min) ;13;
Nb of {Propose} received (max) ;13;
Total size of {Propose} received (avg) ;349.0;
Total size of {Propose} received (stddev) ;0.0;
Total size of {Propose} received (min) ;349;
Total size of {Propose} received (max) ;349;
Global Max size of {Acknowledge confirmation} received (avg) ;34.0;
Global Max size of {Acknowledge confirmation} received (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} received (min) ;34;
Global Max size of {Acknowledge confirmation} received (max) ;34;
Nb of {Acknowledge confirmation} received (avg) ;11.0;
Nb of {Acknowledge confirmation} received (stddev) ;0.0;
Nb of {Acknowledge confirmation} received (min) ;11;
Nb of {Acknowledge confirmation} received (max) ;11;
Total size of {Acknowledge confirmation} received (avg) ;228.0;
Total size of {Acknowledge confirmation} received (stddev) ;0.0;
Total size of {Acknowledge confirmation} received (min) ;228;
Total size of {Acknowledge confirmation} received (max) ;228;
Global Max size of {Withdraw incomplete} received (avg) ;2.0;
Global Max size of {Withdraw incomplete} received (stddev) ;0.0;
Global Max size of {Withdraw incomplete} received (min) ;2;
Global Max size of {Withdraw incomplete} received (max) ;2;
Nb of {Withdraw incomplete} received (avg) ;1.0;
Nb of {Withdraw incomplete} received (stddev) ;0.0;
Nb of {Withdraw incomplete} received (min) ;1;
Nb of {Withdraw incomplete} received (max) ;1;
Total size of {Withdraw incomplete} received (avg) ;3.0;
Total size of {Withdraw incomplete} received (stddev) ;0.0;
Total size of {Withdraw incomplete} received (min) ;3;
Total size of {Withdraw incomplete} received (max) ;3;
Global Max size of {Argue} received (avg) ;20.0;
Global Max size of {Argue} received (stddev) ;0.0;
Global Max size of {Argue} received (min) ;20;
Global Max size of {Argue} received (max) ;20;
Nb of {Argue} received (avg) ;5.0;
Nb of {Argue} received (stddev) ;0.0;
Nb of {Argue} received (min) ;5;
Nb of {Argue} received (max) ;5;
Total size of {Argue} received (avg) ;94.0;
Total size of {Argue} received (stddev) ;0.0;
Total size of {Argue} received (min) ;94;
Total size of {Argue} received (max) ;94;
Global Max size of {End of local conversation} received (avg) ;10.0;
Global Max size of {End of local conversation} received (stddev) ;0.0;
Global Max size of {End of local conversation} received (min) ;10;
Global Max size of {End of local conversation} received (max) ;10;
Nb of {End of local conversation} received (avg) ;8.0;
Nb of {End of local conversation} received (stddev) ;0.0;
Nb of {End of local conversation} received (min) ;8;
Nb of {End of local conversation} received (max) ;8;
Total size of {End of local conversation} received (avg) ;80.0;
Total size of {End of local conversation} received (stddev) ;0.0;
Total size of {End of local conversation} received (min) ;80;
Total size of {End of local conversation} received (max) ;80;
Global Max size of {Request} received (avg) ;18.0;
Global Max size of {Request} received (stddev) ;0.0;
Global Max size of {Request} received (min) ;18;
Global Max size of {Request} received (max) ;18;
Nb of {Request} received (avg) ;4.0;
Nb of {Request} received (stddev) ;0.0;
Nb of {Request} received (min) ;4;
Nb of {Request} received (max) ;4;
Total size of {Request} received (avg) ;72.0;
Total size of {Request} received (stddev) ;0.0;
Total size of {Request} received (min) ;72;
Total size of {Request} received (max) ;72;
Global Max size of {Acknowledge} received (avg) ;2.0;
Global Max size of {Acknowledge} received (stddev) ;0.0;
Global Max size of {Acknowledge} received (min) ;2;
Global Max size of {Acknowledge} received (max) ;2;
Nb of {Acknowledge} received (avg) ;9.0;
Nb of {Acknowledge} received (stddev) ;0.0;
Nb of {Acknowledge} received (min) ;9;
Nb of {Acknowledge} received (max) ;9;
Total size of {Acknowledge} received (avg) ;18.0;
Total size of {Acknowledge} received (stddev) ;0.0;
Total size of {Acknowledge} received (min) ;18;
Total size of {Acknowledge} received (max) ;18;
Global Max size of {Coherence counter-example} received (avg) ;2.0;
Global Max size of {Coherence counter-example} received (stddev) ;0.0;
Global Max size of {Coherence counter-example} received (min) ;2;
Global Max size of {Coherence counter-example} received (max) ;2;
Nb of {Coherence counter-example} received (avg) ;1.0;
Nb of {Coherence counter-example} received (stddev) ;0.0;
Nb of {Coherence counter-example} received (min) ;1;
Nb of {Coherence counter-example} received (max) ;1;
Total size of {Coherence counter-example} received (avg) ;3.0;
Total size of {Coherence counter-example} received (stddev) ;0.0;
Total size of {Coherence counter-example} received (min) ;3;
Total size of {Coherence counter-example} received (max) ;3;
Global Max size of {Completeness counter-example} received (avg) ;10.0;
Global Max size of {Completeness counter-example} received (stddev) ;0.0;
Global Max size of {Completeness counter-example} received (min) ;10;
Global Max size of {Completeness counter-example} received (max) ;10;
Nb of {Completeness counter-example} received (avg) ;7.0;
Nb of {Completeness counter-example} received (stddev) ;0.0;
Nb of {Completeness counter-example} received (min) ;7;
Nb of {Completeness counter-example} received (max) ;7;
Total size of {Completeness counter-example} received (avg) ;70.0;
Total size of {Completeness counter-example} received (stddev) ;0.0;
Total size of {Completeness counter-example} received (min) ;70;
Total size of {Completeness counter-example} received (max) ;70;
Global Max size of {Accept} received (avg) ;51.0;
Global Max size of {Accept} received (stddev) ;0.0;
Global Max size of {Accept} received (min) ;51;
Global Max size of {Accept} received (max) ;51;
Nb of {Accept} received (avg) ;3.0;
Nb of {Accept} received (stddev) ;0.0;
Nb of {Accept} received (min) ;3;
Nb of {Accept} received (max) ;3;
Total size of {Accept} received (avg) ;128.0;
Total size of {Accept} received (stddev) ;0.0;
Total size of {Accept} received (min) ;128;
Total size of {Accept} received (max) ;128;
Global Max size of {Finish} received (avg) ;0.0;
Global Max size of {Finish} received (stddev) ;0.0;
Global Max size of {Finish} received (min) ;0;
Global Max size of {Finish} received (max) ;0;
Nb of {Finish} received (avg) ;3.0;
Nb of {Finish} received (stddev) ;0.0;
Nb of {Finish} received (min) ;3;
Nb of {Finish} received (max) ;3;
Total size of {Finish} received (avg) ;0.0;
Total size of {Finish} received (stddev) ;0.0;
Total size of {Finish} received (min) ;0;
Total size of {Finish} received (max) ;0;
