;v0.3.1395e2_exEcai-3ag_ECAI-CL_Clique_3All
Standard deviation of max size of solve for own context (max) ;10.03327796219494;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;2288.0;
Product of nb of solve for external context (stddev) ;160.0;
Product of nb of solve for external context (min) ;2128;
Product of nb of solve for external context (max) ;2448;
Product of total size of solve for external context (avg) ;2172464.0;
Product of total size of solve for external context (stddev) ;105264.0;
Product of total size of solve for external context (min) ;2067200;
Product of total size of solve for external context (max) ;2277728;
Product of max size of solve for external context (avg) ;18144.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;18144;
Product of max size of solve for external context (max) ;18144;
Product of min size of solve for external context (avg) ;24.0;
Product of min size of solve for external context (stddev) ;8.0;
Product of min size of solve for external context (min) ;16;
Product of min size of solve for external context (max) ;32;
Max of nb of solve for external context (avg) ;18.0;
Max of nb of solve for external context (stddev) ;1.0;
Max of nb of solve for external context (min) ;17;
Max of nb of solve for external context (max) ;19;
Max of total size of solve for external context (avg) ;164.0;
Max of total size of solve for external context (stddev) ;6.0;
Max of total size of solve for external context (min) ;158;
Max of total size of solve for external context (max) ;170;
Max of max size of solve for external context (avg) ;36.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;36;
Max of max size of solve for external context (max) ;36;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;8.5;
Min of nb of solve for external context (stddev) ;0.5;
Min of nb of solve for external context (min) ;8;
Min of nb of solve for external context (max) ;9;
Min of total size of solve for external context (avg) ;100.5;
Min of total size of solve for external context (stddev) ;5.5;
Min of total size of solve for external context (min) ;95;
Min of total size of solve for external context (max) ;106;
Min of max size of solve for external context (avg) ;18.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;18;
Min of max size of solve for external context (max) ;18;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;41.5;
Sum of nb of solve for external context (stddev) ;0.5;
Sum of nb of solve for external context (min) ;41;
Sum of nb of solve for external context (max) ;42;
Sum of total size of solve for external context (avg) ;396.5;
Sum of total size of solve for external context (stddev) ;3.5;
Sum of total size of solve for external context (min) ;393;
Sum of total size of solve for external context (max) ;400;
Sum of max size of solve for external context (avg) ;82.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;82;
Sum of max size of solve for external context (max) ;82;
Sum of min size of solve for external context (avg) ;9.0;
Sum of min size of solve for external context (stddev) ;1.0;
Sum of min size of solve for external context (min) ;8;
Sum of min size of solve for external context (max) ;10;
Average of nb of solve for external context (avg) ;13.833333333333332;
Average of nb of solve for external context (stddev) ;0.16666666666666696;
Average of nb of solve for external context (min) ;13.666666666666666;
