;v0.3.1395e1_DAREscheduleBisW2_Inc-CL_DARE_8All
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;861411382535808;
Product of max size of solve for own context (max) ;861411382535808;
Product of min size of solve for own context (avg) ;4194304.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;4194304;
Product of min size of solve for own context (max) ;4194304;
Max of nb of solve for own context (avg) ;305.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;305;
Max of nb of solve for own context (max) ;305;
Max of total size of solve for own context (avg) ;5890.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;5890;
Max of total size of solve for own context (max) ;5890;
Max of max size of solve for own context (avg) ;109.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;109;
Max of max size of solve for own context (max) ;109;
Max of min size of solve for own context (avg) ;8.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;8;
Max of min size of solve for own context (max) ;8;
Min of nb of solve for own context (avg) ;19.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;19;
Min of nb of solve for own context (max) ;19;
Min of total size of solve for own context (avg) ;324.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;324;
Min of total size of solve for own context (max) ;324;
Min of max size of solve for own context (avg) ;36.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;36;
Min of max size of solve for own context (max) ;36;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;709.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;709;
Sum of nb of solve for own context (max) ;709;
Sum of total size of solve for own context (avg) ;15573.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;15573;
Sum of total size of solve for own context (max) ;15573;
Sum of max size of solve for own context (avg) ;640.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;640;
Sum of max size of solve for own context (max) ;640;
Sum of min size of solve for own context (avg) ;56.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;56;
Sum of min size of solve for own context (max) ;56;
Average of nb of solve for own context (avg) ;88.625;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;88.625;
Average of nb of solve for own context (max) ;88.625;
Average of total size of solve for own context (avg) ;1946.625;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;1946.625;
Average of total size of solve for own context (max) ;1946.625;
Average of max size of solve for own context (avg) ;80.0;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;80.0;
Average of max size of solve for own context (max) ;80.0;
Average of min size of solve for own context (avg) ;7.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;7.0;
Average of min size of solve for own context (max) ;7.0;
Standard deviation of nb of solve for own context (avg) ;89.00131670374321;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;89.00131670374321;
Standard deviation of nb of solve for own context (max) ;89.00131670374321;
Standard deviation of total size of solve for own context (avg) ;1764.3043202279475;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;1764.3043202279475;
Standard deviation of total size of solve for own context (max) ;1764.3043202279475;
Standard deviation of max size of solve for own context (avg) ;28.434134416225863;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;28.434134416225863;
Standard deviation of max size of solve for own context (max) ;28.434134416225863;
Standard deviation of min size of solve for own context (avg) ;1.7320508075688772;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;1.7320508075688772;
Standard deviation of min size of solve for own context (max) ;1.7320508075688772;
Product of nb of solve for external context (avg) ;4.482583395264E14;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;448258339526400;
Product of nb of solve for external context (max) ;448258339526400;
Product of total size of solve for external context (avg) ;2.9436982595545211E18;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;2943698259554520832;
Product of total size of solve for external context (max) ;2943698259554520832;
Product of max size of solve for external context (avg) ;3.184154064E13;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;31841540640000;
Product of max size of solve for external context (max) ;31841540640000;
Product of min size of solve for external context (avg) ;36864.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;36864;
Product of min size of solve for external context (max) ;36864;
Max of nb of solve for external context (avg) ;263.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;263;
Max of nb of solve for external context (max) ;263;
Max of total size of solve for external context (avg) ;4121.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;4121;
Max of total size of solve for external context (max) ;4121;
Max of max size of solve for external context (avg) ;98.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;98;
Max of max size of solve for external context (max) ;98;
Max of min size of solve for external context (avg) ;9.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;9;
Max of min size of solve for external context (max) ;9;
Min of nb of solve for external context (avg) ;38.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;38;
Min of nb of solve for external context (max) ;38;
Min of total size of solve for external context (avg) ;391.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;391;
Min of total size of solve for external context (max) ;391;
Min of max size of solve for external context (avg) ;21.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;21;
Min of max size of solve for external context (max) ;21;
Min of min size of solve for external context (avg) ;1.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;1;
Min of min size of solve for external context (max) ;1;
Sum of nb of solve for external context (avg) ;674.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;674;
Sum of nb of solve for external context (max) ;674;
Sum of total size of solve for external context (avg) ;9774.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;9774;
Sum of total size of solve for external context (max) ;9774;
Sum of max size of solve for external context (avg) ;447.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;447;
Sum of max size of solve for external context (max) ;447;
Sum of min size of solve for external context (avg) ;34.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;34;
Sum of min size of solve for external context (max) ;34;
Average of nb of solve for external context (avg) ;84.25;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;84.25;
Average of nb of solve for external context (max) ;84.25;
Average of total size of solve for external context (avg) ;1221.75;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;1221.75;
Average of total size of solve for external context (max) ;1221.75;
Average of max size of solve for external context (avg) ;55.875;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;55.875;
Average of max size of solve for external context (max) ;55.875;
Average of min size of solve for external context (avg) ;4.25;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;4.25;
Average of min size of solve for external context (max) ;4.25;
Standard deviation of nb of solve for external context (avg) ;69.93881254353694;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;69.93881254353694;
Standard deviation of nb of solve for external context (max) ;69.93881254353694;
Standard deviation of total size of solve for external context (avg) ;1163.133886317478;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;1163.133886317478;
