;v0.3.13e10_exEcai-3ag_Inc_Clique_3Summ
Nb of {End of local conversation} received (max) ;12;
Total size of {End of local conversation} received (avg) ;120.0;
Total size of {End of local conversation} received (stddev) ;0.0;
Total size of {End of local conversation} received (min) ;120;
Total size of {End of local conversation} received (max) ;120;
Global Max size of {Check Context} received (avg) ;29.0;
Global Max size of {Check Context} received (stddev) ;0.0;
Global Max size of {Check Context} received (min) ;29;
Global Max size of {Check Context} received (max) ;29;
Nb of {Check Context} received (avg) ;4.0;
Nb of {Check Context} received (stddev) ;0.0;
Nb of {Check Context} received (min) ;4;
Nb of {Check Context} received (max) ;4;
Total size of {Check Context} received (avg) ;86.0;
Total size of {Check Context} received (stddev) ;0.0;
Total size of {Check Context} received (min) ;86;
Total size of {Check Context} received (max) ;86;
Global Max size of {Has Better Hyp} received (avg) ;45.6;
Global Max size of {Has Better Hyp} received (stddev) ;37.23224409030431;
Global Max size of {Has Better Hyp} received (min) ;0;
Global Max size of {Has Better Hyp} received (max) ;76;
Nb of {Has Better Hyp} received (avg) ;-0.6;
Nb of {Has Better Hyp} received (stddev) ;0.48989794855663565;
Nb of {Has Better Hyp} received (min) ;-1;
Nb of {Has Better Hyp} received (max) ;0;
Total size of {Has Better Hyp} received (avg) ;44.4;
Total size of {Has Better Hyp} received (stddev) ;36.252448193191036;
Total size of {Has Better Hyp} received (min) ;0;
Total size of {Has Better Hyp} received (max) ;74;
Global Max size of {Acknowledge} received (avg) ;2.0;
Global Max size of {Acknowledge} received (stddev) ;0.0;
Global Max size of {Acknowledge} received (min) ;2;
Global Max size of {Acknowledge} received (max) ;2;
Nb of {Acknowledge} received (avg) ;11.6;
Nb of {Acknowledge} received (stddev) ;0.48989794855663565;
Nb of {Acknowledge} received (min) ;11;
Nb of {Acknowledge} received (max) ;12;
Total size of {Acknowledge} received (avg) ;23.2;
Total size of {Acknowledge} received (stddev) ;0.9797958971132713;
Total size of {Acknowledge} received (min) ;22;
Total size of {Acknowledge} received (max) ;24;
Global Max size of {Completeness counter-example} received (avg) ;10.0;
Global Max size of {Completeness counter-example} received (stddev) ;0.0;
Global Max size of {Completeness counter-example} received (min) ;10;
Global Max size of {Completeness counter-example} received (max) ;10;
Nb of {Completeness counter-example} received (avg) ;8.0;
Nb of {Completeness counter-example} received (stddev) ;0.0;
Nb of {Completeness counter-example} received (min) ;8;
Nb of {Completeness counter-example} received (max) ;8;
Total size of {Completeness counter-example} received (avg) ;80.0;
Total size of {Completeness counter-example} received (stddev) ;0.0;
Total size of {Completeness counter-example} received (min) ;80;
Total size of {Completeness counter-example} received (max) ;80;
Global Max size of {Accept} received (avg) ;76.0;
Global Max size of {Accept} received (stddev) ;0.0;
Global Max size of {Accept} received (min) ;76;
Global Max size of {Accept} received (max) ;76;
Nb of {Accept} received (avg) ;5.6;
Nb of {Accept} received (stddev) ;0.48989794855663565;
Nb of {Accept} received (min) ;5;
Nb of {Accept} received (max) ;6;
Total size of {Accept} received (avg) ;256.6;
Total size of {Accept} received (stddev) ;0.4898979485566357;
Total size of {Accept} received (min) ;256;
Total size of {Accept} received (max) ;257;
Global Max size of {Request} received (avg) ;18.0;
Global Max size of {Request} received (stddev) ;0.0;
Global Max size of {Request} received (min) ;18;
Global Max size of {Request} received (max) ;18;
Nb of {Request} received (avg) ;6.0;
Nb of {Request} received (stddev) ;0.0;
Nb of {Request} received (min) ;6;
Nb of {Request} received (max) ;6;
Total size of {Request} received (avg) ;108.0;
Total size of {Request} received (stddev) ;0.0;
Total size of {Request} received (min) ;108;
Total size of {Request} received (max) ;108;
Global Max size of {Coherence counter-example} received (avg) ;2.0;
Global Max size of {Coherence counter-example} received (stddev) ;0.0;
Global Max size of {Coherence counter-example} received (min) ;2;
