;v0.3.1395e1_exEcai-2ag_ECAI_Clique_2All
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;7.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;7;
Min of nb of solve for external context (max) ;7;
Min of total size of solve for external context (avg) ;83.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;83;
Min of total size of solve for external context (max) ;83;
Min of max size of solve for external context (avg) ;23.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;23;
Min of max size of solve for external context (max) ;23;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;14.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;14;
Sum of nb of solve for external context (max) ;14;
Sum of total size of solve for external context (avg) ;192.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;192;
Sum of total size of solve for external context (max) ;192;
Sum of max size of solve for external context (avg) ;86.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;86;
Sum of max size of solve for external context (max) ;86;
Sum of min size of solve for external context (avg) ;6.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;6;
Sum of min size of solve for external context (max) ;6;
Average of nb of solve for external context (avg) ;7.0;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;7.0;
Average of nb of solve for external context (max) ;7.0;
Average of total size of solve for external context (avg) ;96.0;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;96.0;
Average of total size of solve for external context (max) ;96.0;
Average of max size of solve for external context (avg) ;43.0;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;43.0;
Average of max size of solve for external context (max) ;43.0;
Average of min size of solve for external context (avg) ;3.0;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;3.0;
Average of min size of solve for external context (max) ;3.0;
Standard deviation of nb of solve for external context (avg) ;0.0;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;0.0;
Standard deviation of nb of solve for external context (max) ;0;
Standard deviation of total size of solve for external context (avg) ;13.0;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;13.0;
Standard deviation of total size of solve for external context (max) ;13.0;
Standard deviation of max size of solve for external context (avg) ;20.0;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;20.0;
Standard deviation of max size of solve for external context (max) ;20.0;
Standard deviation of min size of solve for external context (avg) ;1.0;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;1.0;
Standard deviation of min size of solve for external context (max) ;1.0;
Product of nb of solve for covered manif. (avg) ;6.0;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;6;
Product of nb of solve for covered manif. (max) ;6;
Product of total size of solve for covered manif. (avg) ;931.0;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;931;
Product of total size of solve for covered manif. (max) ;931;
Product of max size of solve for covered manif. (avg) ;400.0;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;400;
Product of max size of solve for covered manif. (max) ;400;
Product of min size of solve for covered manif. (avg) ;24.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;24;
Product of min size of solve for covered manif. (max) ;24;
Max of nb of solve for covered manif. (avg) ;3.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;3;
Max of nb of solve for covered manif. (max) ;3;
Max of total size of solve for covered manif. (avg) ;49.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;49;
Max of total size of solve for covered manif. (max) ;49;
Max of max size of solve for covered manif. (avg) ;25.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
