;v0.3.1395e1_chain8-4_Inc_Ligne_4All
Sum of nb of solve for own context (avg) ;645.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;645;
Sum of nb of solve for own context (max) ;645;
Sum of total size of solve for own context (avg) ;6670.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;6670;
Sum of total size of solve for own context (max) ;6670;
Sum of max size of solve for own context (avg) ;135.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;135;
Sum of max size of solve for own context (max) ;135;
Sum of min size of solve for own context (avg) ;16.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;16;
Sum of min size of solve for own context (max) ;16;
Average of nb of solve for own context (avg) ;161.25;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;161.25;
Average of nb of solve for own context (max) ;161.25;
Average of total size of solve for own context (avg) ;1667.5;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;1667.5;
Average of total size of solve for own context (max) ;1667.5;
Average of max size of solve for own context (avg) ;33.75;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;33.75;
Average of max size of solve for own context (max) ;33.75;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;57.65143103167518;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;57.65143103167518;
Standard deviation of nb of solve for own context (max) ;57.65143103167518;
Standard deviation of total size of solve for own context (avg) ;677.2711790708357;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;677.2711790708357;
Standard deviation of total size of solve for own context (max) ;677.2711790708357;
Standard deviation of max size of solve for own context (avg) ;6.49519052838329;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;6.49519052838329;
Standard deviation of max size of solve for own context (max) ;6.49519052838329;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;1.7339976E9;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;1733997600;
Product of nb of solve for external context (max) ;1733997600;
Product of total size of solve for external context (avg) ;2.120563212768E12;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;2120563212768;
Product of total size of solve for external context (max) ;2120563212768;
Product of max size of solve for external context (avg) ;194481.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;194481;
Product of max size of solve for external context (max) ;194481;
Product of min size of solve for external context (avg) ;64.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;64;
Product of min size of solve for external context (max) ;64;
Max of nb of solve for external context (avg) ;283.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;283;
Max of nb of solve for external context (max) ;283;
Max of total size of solve for external context (avg) ;1749.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;1749;
Max of total size of solve for external context (max) ;1749;
Max of max size of solve for external context (avg) ;21.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;21;
Max of max size of solve for external context (max) ;21;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
