;v0.3.13e10_exEcai-3ag_Inc-CL_Ligne_3All
Product of total size of solve for external context (max) ;694330;
Product of max size of solve for external context (avg) ;7326.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;7326;
Product of max size of solve for external context (max) ;7326;
Product of min size of solve for external context (avg) ;16.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;16;
Product of min size of solve for external context (max) ;16;
Max of nb of solve for external context (avg) ;14.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;14;
Max of nb of solve for external context (max) ;14;
Max of total size of solve for external context (avg) ;109.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;109;
Max of total size of solve for external context (max) ;109;
Max of max size of solve for external context (avg) ;37.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;37;
Max of max size of solve for external context (max) ;37;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;5.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;5;
Min of nb of solve for external context (max) ;5;
Min of total size of solve for external context (avg) ;70.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;70;
Min of total size of solve for external context (max) ;70;
Min of max size of solve for external context (avg) ;11.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;11;
Min of max size of solve for external context (max) ;11;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;32.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;32;
Sum of nb of solve for external context (max) ;32;
Sum of total size of solve for external context (avg) ;270.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;270;
Sum of total size of solve for external context (max) ;270;
Sum of max size of solve for external context (avg) ;66.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;66;
Sum of max size of solve for external context (max) ;66;
Sum of min size of solve for external context (avg) ;8.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;8;
Sum of min size of solve for external context (max) ;8;
Average of nb of solve for external context (avg) ;10.666666666666668;
Average of nb of solve for external context (stddev) ;1.7763568394002505E-15;
Average of nb of solve for external context (min) ;10.666666666666666;
Average of nb of solve for external context (max) ;10.666666666666666;
Average of total size of solve for external context (avg) ;90.0;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;90.0;
Average of total size of solve for external context (max) ;90.0;
Average of max size of solve for external context (avg) ;22.0;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;22.0;
Average of max size of solve for external context (max) ;22.0;
Average of min size of solve for external context (avg) ;2.666666666666667;
Average of min size of solve for external context (stddev) ;4.440892098500626E-16;
Average of min size of solve for external context (min) ;2.6666666666666665;
Average of min size of solve for external context (max) ;2.6666666666666665;
Standard deviation of nb of solve for external context (avg) ;4.027681991198192;
Standard deviation of nb of solve for external context (stddev) ;8.881784197001252E-16;
Standard deviation of nb of solve for external context (min) ;4.027681991198191;
Standard deviation of nb of solve for external context (max) ;4.027681991198191;
Standard deviation of total size of solve for external context (avg) ;15.937377450509228;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;15.937377450509228;
Standard deviation of total size of solve for external context (max) ;15.937377450509228;
Standard deviation of max size of solve for external context (avg) ;10.984838035522722;
Standard deviation of max size of solve for external context (stddev) ;1.7763568394002505E-15;
Standard deviation of max size of solve for external context (min) ;10.98483803552272;
