;v0.3.139e1_DAREscheduleVariant_ECAI_DARE_8All
Standard deviation of min size of solve for external context (max) ;1.4523687548277813;
Product of nb of solve for covered manif. (avg) ;2.02420224E11;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;202420224000;
Product of nb of solve for covered manif. (max) ;202420224000;
Product of total size of solve for covered manif. (avg) ;8.1032106034701926E18;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;8103210603470192640;
Product of total size of solve for covered manif. (max) ;8103210603470192640;
Product of max size of solve for covered manif. (avg) ;3.8848702464E12;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;3884870246400;
Product of max size of solve for covered manif. (max) ;3884870246400;
Product of min size of solve for covered manif. (avg) ;17496.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;17496;
Product of min size of solve for covered manif. (max) ;17496;
Max of nb of solve for covered manif. (avg) ;60.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;60;
Max of nb of solve for covered manif. (max) ;60;
Max of total size of solve for covered manif. (avg) ;1270.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;1270;
Max of total size of solve for covered manif. (max) ;1270;
Max of max size of solve for covered manif. (avg) ;48.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;48;
Max of max size of solve for covered manif. (max) ;48;
Max of min size of solve for covered manif. (avg) ;8.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;8;
Max of min size of solve for covered manif. (max) ;8;
Min of nb of solve for covered manif. (avg) ;4.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;4;
Min of nb of solve for covered manif. (max) ;4;
Min of total size of solve for covered manif. (avg) ;64.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;64;
Min of total size of solve for covered manif. (max) ;64;
Min of max size of solve for covered manif. (avg) ;33.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;33;
Min of max size of solve for covered manif. (max) ;33;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;252.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;252;
Sum of nb of solve for covered manif. (max) ;252;
Sum of total size of solve for covered manif. (avg) ;3989.0;
