;v0.3.1395e2_chain8_ECAI_Ligne_8All
Average of nb of solve for external context (min) ;384.875;
Average of nb of solve for external context (max) ;432.625;
Average of total size of solve for external context (avg) ;2274.75;
Average of total size of solve for external context (stddev) ;152.25;
Average of total size of solve for external context (min) ;2122.5;
Average of total size of solve for external context (max) ;2427.0;
Average of max size of solve for external context (avg) ;21.375;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;21.375;
Average of max size of solve for external context (max) ;21.375;
Average of min size of solve for external context (avg) ;2.5;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;2.5;
Average of min size of solve for external context (max) ;2.5;
Standard deviation of nb of solve for external context (avg) ;228.24186150836238;
Standard deviation of nb of solve for external context (stddev) ;25.750233595008893;
Standard deviation of nb of solve for external context (min) ;202.49162791335348;
Standard deviation of nb of solve for external context (max) ;253.99209510337127;
Standard deviation of total size of solve for external context (avg) ;1591.07280591141;
Standard deviation of total size of solve for external context (stddev) ;202.72783797296552;
Standard deviation of total size of solve for external context (min) ;1388.3449679384444;
Standard deviation of total size of solve for external context (max) ;1793.8006438843754;
Standard deviation of max size of solve for external context (avg) ;5.786568499551353;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;5.786568499551353;
Standard deviation of max size of solve for external context (max) ;5.786568499551353;
Standard deviation of min size of solve for external context (avg) ;0.8660254037844386;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.8660254037844386;
Standard deviation of min size of solve for external context (max) ;0.8660254037844386;
Product of nb of solve for covered manif. (avg) ;1.44396678771072E14;
Product of nb of solve for covered manif. (stddev) ;3.5563484541312E13;
Product of nb of solve for covered manif. (min) ;108833194229760;
Product of nb of solve for covered manif. (max) ;179960163312384;
Product of total size of solve for covered manif. (avg) ;2.6525298341955738E18;
Product of total size of solve for covered manif. (stddev) ;9.38912236891201E18;
Product of total size of solve for covered manif. (min) ;-8327266732255964800;
Product of total size of solve for covered manif. (max) ;0;
Product of max size of solve for covered manif. (avg) ;9.25E10;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;92500000000;
Product of max size of solve for covered manif. (max) ;92500000000;
Product of min size of solve for covered manif. (avg) ;17496.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;17496;
Product of min size of solve for covered manif. (max) ;17496;
Max of nb of solve for covered manif. (avg) ;77.5;
Max of nb of solve for covered manif. (stddev) ;6.5;
Max of nb of solve for covered manif. (min) ;71;
Max of nb of solve for covered manif. (max) ;84;
Max of total size of solve for covered manif. (avg) ;1608.5;
Max of total size of solve for covered manif. (stddev) ;189.5;
Max of total size of solve for covered manif. (min) ;1419;
Max of total size of solve for covered manif. (max) ;1798;
Max of max size of solve for covered manif. (avg) ;37.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;37;
Max of max size of solve for covered manif. (max) ;37;
Max of min size of solve for covered manif. (avg) ;8.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;8;
Max of min size of solve for covered manif. (max) ;8;
Min of nb of solve for covered manif. (avg) ;31.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;31;
Min of nb of solve for covered manif. (max) ;31;
Min of total size of solve for covered manif. (avg) ;395.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;395;
Min of total size of solve for covered manif. (max) ;395;
Min of max size of solve for covered manif. (avg) ;16.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;16;
Min of max size of solve for covered manif. (max) ;16;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;486.5;
Sum of nb of solve for covered manif. (stddev) ;17.5;
Sum of nb of solve for covered manif. (min) ;469;
Sum of nb of solve for covered manif. (max) ;504;
Sum of total size of solve for covered manif. (avg) ;6905.5;
Sum of total size of solve for covered manif. (stddev) ;352.5;
Sum of total size of solve for covered manif. (min) ;6553;
Sum of total size of solve for covered manif. (max) ;7258;
Sum of max size of solve for covered manif. (avg) ;194.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;194;
Sum of max size of solve for covered manif. (max) ;194;
Sum of min size of solve for covered manif. (avg) ;29.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;29;
Sum of min size of solve for covered manif. (max) ;29;
Average of nb of solve for covered manif. (avg) ;60.8125;
Average of nb of solve for covered manif. (stddev) ;2.1875;
Average of nb of solve for covered manif. (min) ;58.625;
