;v0.3.139e1_DAREscheduleBis_ECAI-CL_DARE_8Summ
Nb of {Deny} received (min) ;145;
Nb of {Deny} received (max) ;145;
Total size of {Deny} received (avg) ;19562.0;
Total size of {Deny} received (stddev) ;0.0;
Total size of {Deny} received (min) ;19562;
Total size of {Deny} received (max) ;19562;
Global Max size of {Propose} received (avg) ;246.0;
Global Max size of {Propose} received (stddev) ;0.0;
Global Max size of {Propose} received (min) ;246;
Global Max size of {Propose} received (max) ;246;
Nb of {Propose} received (avg) ;212.0;
Nb of {Propose} received (stddev) ;0.0;
Nb of {Propose} received (min) ;212;
Nb of {Propose} received (max) ;212;
Total size of {Propose} received (avg) ;28227.0;
Total size of {Propose} received (stddev) ;0.0;
Total size of {Propose} received (min) ;28227;
Total size of {Propose} received (max) ;28227;
Global Max size of {Acknowledge confirmation} received (avg) ;246.0;
Global Max size of {Acknowledge confirmation} received (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} received (min) ;246;
Global Max size of {Acknowledge confirmation} received (max) ;246;
Nb of {Acknowledge confirmation} received (avg) ;229.0;
Nb of {Acknowledge confirmation} received (stddev) ;0.0;
Nb of {Acknowledge confirmation} received (min) ;229;
Nb of {Acknowledge confirmation} received (max) ;229;
Total size of {Acknowledge confirmation} received (avg) ;26803.0;
Total size of {Acknowledge confirmation} received (stddev) ;0.0;
Total size of {Acknowledge confirmation} received (min) ;26803;
Total size of {Acknowledge confirmation} received (max) ;26803;
Global Max size of {Withdraw incomplete} received (avg) ;2.0;
Global Max size of {Withdraw incomplete} received (stddev) ;0.0;
Global Max size of {Withdraw incomplete} received (min) ;2;
Global Max size of {Withdraw incomplete} received (max) ;2;
Nb of {Withdraw incomplete} received (avg) ;3.0;
Nb of {Withdraw incomplete} received (stddev) ;0.0;
Nb of {Withdraw incomplete} received (min) ;3;
Nb of {Withdraw incomplete} received (max) ;3;
Total size of {Withdraw incomplete} received (avg) ;10.0;
Total size of {Withdraw incomplete} received (stddev) ;0.0;
Total size of {Withdraw incomplete} received (min) ;10;
Total size of {Withdraw incomplete} received (max) ;10;
Global Max size of {Ask other hypothesis} received (avg) ;144.0;
Global Max size of {Ask other hypothesis} received (stddev) ;0.0;
Global Max size of {Ask other hypothesis} received (min) ;144;
Global Max size of {Ask other hypothesis} received (max) ;144;
Nb of {Ask other hypothesis} received (avg) ;60.0;
Nb of {Ask other hypothesis} received (stddev) ;0.0;
Nb of {Ask other hypothesis} received (min) ;60;
Nb of {Ask other hypothesis} received (max) ;60;
Total size of {Ask other hypothesis} received (avg) ;5040.0;
Total size of {Ask other hypothesis} received (stddev) ;0.0;
Total size of {Ask other hypothesis} received (min) ;5040;
Total size of {Ask other hypothesis} received (max) ;5040;
Global Max size of {Completeness counter-example} received (avg) ;25.0;
Global Max size of {Completeness counter-example} received (stddev) ;0.0;
Global Max size of {Completeness counter-example} received (min) ;25;
Global Max size of {Completeness counter-example} received (max) ;25;
Nb of {Completeness counter-example} received (avg) ;68.0;
Nb of {Completeness counter-example} received (stddev) ;0.0;
Nb of {Completeness counter-example} received (min) ;68;
Nb of {Completeness counter-example} received (max) ;68;
Total size of {Completeness counter-example} received (avg) ;1700.0;
Total size of {Completeness counter-example} received (stddev) ;0.0;
Total size of {Completeness counter-example} received (min) ;1700;
Total size of {Completeness counter-example} received (max) ;1700;
Global Max size of {Argue} received (avg) ;173.0;
Global Max size of {Argue} received (stddev) ;0.0;
Global Max size of {Argue} received (min) ;173;
Global Max size of {Argue} received (max) ;173;
Nb of {Argue} received (avg) ;61.0;
Nb of {Argue} received (stddev) ;0.0;
Nb of {Argue} received (min) ;61;
Nb of {Argue} received (max) ;61;
Total size of {Argue} received (avg) ;8566.0;
Total size of {Argue} received (stddev) ;0.0;
Total size of {Argue} received (min) ;8566;
Total size of {Argue} received (max) ;8566;
Global Max size of {Acknowledge} received (avg) ;2.0;
Global Max size of {Acknowledge} received (stddev) ;0.0;
Global Max size of {Acknowledge} received (min) ;2;
Global Max size of {Acknowledge} received (max) ;2;
Nb of {Acknowledge} received (avg) ;159.0;
Nb of {Acknowledge} received (stddev) ;0.0;
Nb of {Acknowledge} received (min) ;159;
Nb of {Acknowledge} received (max) ;159;
Total size of {Acknowledge} received (avg) ;318.0;
Total size of {Acknowledge} received (stddev) ;0.0;
Total size of {Acknowledge} received (min) ;318;
Total size of {Acknowledge} received (max) ;318;
Global Max size of {Accept} received (avg) ;31.0;
Global Max size of {Accept} received (stddev) ;0.0;
Global Max size of {Accept} received (min) ;31;
Global Max size of {Accept} received (max) ;31;
Nb of {Accept} received (avg) ;32.0;
Nb of {Accept} received (stddev) ;0.0;
Nb of {Accept} received (min) ;32;
Nb of {Accept} received (max) ;32;
Total size of {Accept} received (avg) ;1022.0;
Total size of {Accept} received (stddev) ;0.0;
Total size of {Accept} received (min) ;1022;
Total size of {Accept} received (max) ;1022;
Global Max size of {End of local conversation} received (avg) ;10.0;
Global Max size of {End of local conversation} received (stddev) ;0.0;
Global Max size of {End of local conversation} received (min) ;10;
Global Max size of {End of local conversation} received (max) ;10;
Nb of {End of local conversation} received (avg) ;66.0;
Nb of {End of local conversation} received (stddev) ;0.0;
Nb of {End of local conversation} received (min) ;66;
Nb of {End of local conversation} received (max) ;66;
Total size of {End of local conversation} received (avg) ;660.0;
Total size of {End of local conversation} received (stddev) ;0.0;
Total size of {End of local conversation} received (min) ;660;
Total size of {End of local conversation} received (max) ;660;
Global Max size of {Propose again} received (avg) ;31.0;
Global Max size of {Propose again} received (stddev) ;0.0;
Global Max size of {Propose again} received (min) ;31;
Global Max size of {Propose again} received (max) ;31;
Nb of {Propose again} received (avg) ;33.0;
Nb of {Propose again} received (stddev) ;0.0;
Nb of {Propose again} received (min) ;33;
Nb of {Propose again} received (max) ;33;
Total size of {Propose again} received (avg) ;1023.0;
Total size of {Propose again} received (stddev) ;0.0;
Total size of {Propose again} received (min) ;1023;
Total size of {Propose again} received (max) ;1023;
Global Max size of {Coherence counter-example} received (avg) ;39.0;
Global Max size of {Coherence counter-example} received (stddev) ;0.0;
