;e1_chain7_ECAI-CL_Ligne_0All
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;8872;
Sum of total size of solve for own context (max) ;8872;
Sum of max size of solve for own context (avg) ;225.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;225;
Sum of max size of solve for own context (max) ;225;
Sum of min size of solve for own context (avg) ;35.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;35;
Sum of min size of solve for own context (max) ;35;
Average of nb of solve for own context (avg) ;68.0;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;68.0;
Average of nb of solve for own context (max) ;68.0;
Average of total size of solve for own context (avg) ;1109.0;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;1109.0;
Average of total size of solve for own context (max) ;1109.0;
Average of max size of solve for own context (avg) ;28.125;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;28.125;
Average of max size of solve for own context (max) ;28.125;
Average of min size of solve for own context (avg) ;4.375;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.375;
Average of min size of solve for own context (max) ;4.375;
Standard deviation of nb of solve for own context (avg) ;53.9351462406472;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;53.9351462406472;
Standard deviation of nb of solve for own context (max) ;53.9351462406472;
Standard deviation of total size of solve for own context (avg) ;794.9921383259082;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;794.9921383259082;
Standard deviation of total size of solve for own context (max) ;794.9921383259082;
Standard deviation of max size of solve for own context (avg) ;5.840323193111833;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;5.840323193111833;
Standard deviation of max size of solve for own context (max) ;5.840323193111833;
Standard deviation of min size of solve for own context (avg) ;2.394655507583502;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;2.394655507583502;
Standard deviation of min size of solve for own context (max) ;2.394655507583502;
Product of nb of solve for external context (avg) ;2.6745269958E14;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;267452699580000;
Product of nb of solve for external context (max) ;267452699580000;
Product of total size of solve for external context (avg) ;8.9204746923895224E18;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;8920474692389522848;
Product of total size of solve for external context (max) ;8920474692389522848;
Product of max size of solve for external context (avg) ;6.757515072E9;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;6757515072;
Product of max size of solve for external context (max) ;6757515072;
Product of min size of solve for external context (avg) ;65536.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;65536;
Product of min size of solve for external context (max) ;65536;
Max of nb of solve for external context (avg) ;223.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;223;
Max of nb of solve for external context (max) ;223;
Max of total size of solve for external context (avg) ;2329.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;2329;
Max of total size of solve for external context (max) ;2329;
Max of max size of solve for external context (avg) ;28.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;28;
Max of max size of solve for external context (max) ;28;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;10.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;10;
Min of nb of solve for external context (max) ;10;
Min of total size of solve for external context (avg) ;79.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;79;
Min of total size of solve for external context (max) ;79;
Min of max size of solve for external context (avg) ;11.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;11;
Min of max size of solve for external context (max) ;11;
Min of min size of solve for external context (avg) ;4.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;4;
Min of min size of solve for external context (max) ;4;
Sum of nb of solve for external context (avg) ;716.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;716;
Sum of nb of solve for external context (max) ;716;
Sum of total size of solve for external context (avg) ;6190.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;6190;
Sum of total size of solve for external context (max) ;6190;
Sum of max size of solve for external context (avg) ;141.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;141;
Sum of max size of solve for external context (max) ;141;
Sum of min size of solve for external context (avg) ;32.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;32;
Sum of min size of solve for external context (max) ;32;
Average of nb of solve for external context (avg) ;89.5;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;89.5;
Average of nb of solve for external context (max) ;89.5;
Average of total size of solve for external context (avg) ;773.75;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;773.75;
Average of total size of solve for external context (max) ;773.75;
Average of max size of solve for external context (avg) ;17.625;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;17.625;
Average of max size of solve for external context (max) ;17.625;
Average of min size of solve for external context (avg) ;4.0;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;4.0;
Average of min size of solve for external context (max) ;4.0;
Standard deviation of nb of solve for external context (avg) ;67.35540067433345;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;67.35540067433345;
Standard deviation of nb of solve for external context (max) ;67.35540067433345;
Standard deviation of total size of solve for external context (avg) ;671.6330378264607;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;671.6330378264607;
Standard deviation of total size of solve for external context (max) ;671.6330378264607;
Standard deviation of max size of solve for external context (avg) ;4.973366566019441;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;4.973366566019441;
Standard deviation of max size of solve for external context (max) ;4.973366566019441;
Standard deviation of min size of solve for external context (avg) ;0.0;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.0;
Standard deviation of min size of solve for external context (max) ;0;
Product of nb of solve for covered manif. (avg) ;4.94461107E11;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;494461107000;
Product of nb of solve for covered manif. (max) ;494461107000;
Product of total size of solve for covered manif. (avg) ;-3.5736866768717251E18;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;-3573686676871725056;
Product of total size of solve for covered manif. (max) ;0;
Product of max size of solve for covered manif. (avg) ;5.92E10;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;59200000000;
Product of max size of solve for covered manif. (max) ;59200000000;
Product of min size of solve for covered manif. (avg) ;17496.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;17496;
Product of min size of solve for covered manif. (max) ;17496;
Max of nb of solve for covered manif. (avg) ;41.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;41;
Max of nb of solve for covered manif. (max) ;41;
Max of total size of solve for covered manif. (avg) ;876.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;876;
Max of total size of solve for covered manif. (max) ;876;
Max of max size of solve for covered manif. (avg) ;37.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;37;
Max of max size of solve for covered manif. (max) ;37;
Max of min size of solve for covered manif. (avg) ;8.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;8;
Max of min size of solve for covered manif. (max) ;8;
Min of nb of solve for covered manif. (avg) ;10.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;10;
Min of nb of solve for covered manif. (max) ;10;
Min of total size of solve for covered manif. (avg) ;128.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;128;
Min of total size of solve for covered manif. (max) ;128;
Min of max size of solve for covered manif. (avg) ;16.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;16;
Min of max size of solve for covered manif. (max) ;16;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;250.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;250;
