;v0.3.1395e1_chain8_Inc_Circuit_8All
Max of nb of solve for covered manif. (min) ;61;
Max of nb of solve for covered manif. (max) ;61;
Max of total size of solve for covered manif. (avg) ;1243.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;1243;
Max of total size of solve for covered manif. (max) ;1243;
Max of max size of solve for covered manif. (avg) ;37.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;37;
Max of max size of solve for covered manif. (max) ;37;
Max of min size of solve for covered manif. (avg) ;8.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;8;
Max of min size of solve for covered manif. (max) ;8;
Min of nb of solve for covered manif. (avg) ;34.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;34;
Min of nb of solve for covered manif. (max) ;34;
Min of total size of solve for covered manif. (avg) ;401.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;401;
Min of total size of solve for covered manif. (max) ;401;
Min of max size of solve for covered manif. (avg) ;16.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;16;
Min of max size of solve for covered manif. (max) ;16;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;369.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;369;
Sum of nb of solve for covered manif. (max) ;369;
Sum of total size of solve for covered manif. (avg) ;5040.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;5040;
Sum of total size of solve for covered manif. (max) ;5040;
Sum of max size of solve for covered manif. (avg) ;185.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;185;
Sum of max size of solve for covered manif. (max) ;185;
Sum of min size of solve for covered manif. (avg) ;29.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;29;
Sum of min size of solve for covered manif. (max) ;29;
Average of nb of solve for covered manif. (avg) ;46.125;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;46.125;
Average of nb of solve for covered manif. (max) ;46.125;
Average of total size of solve for covered manif. (avg) ;630.0;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;630.0;
Average of total size of solve for covered manif. (max) ;630.0;
Average of max size of solve for covered manif. (avg) ;23.125;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;23.125;
Average of max size of solve for covered manif. (max) ;23.125;
Average of min size of solve for covered manif. (avg) ;3.625;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.625;
Average of min size of solve for covered manif. (max) ;3.625;
Standard deviation of nb of solve for covered manif. (avg) ;10.385536818094671;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;10.385536818094671;
Standard deviation of nb of solve for covered manif. (max) ;10.385536818094671;
Standard deviation of total size of solve for covered manif. (avg) ;261.5301129889252;
