;v0.3.1395e1_chain8-4_Inc_Circuit_4All
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;2415.5;
Average of total size of solve for own context (max) ;2415.5;
Average of max size of solve for own context (avg) ;33.75;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;33.75;
Average of max size of solve for own context (max) ;33.75;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;60.65063890842371;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;60.65063890842371;
Standard deviation of nb of solve for own context (max) ;60.65063890842371;
Standard deviation of total size of solve for own context (avg) ;1037.9155794186731;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;1037.9155794186731;
Standard deviation of total size of solve for own context (max) ;1037.9155794186731;
Standard deviation of max size of solve for own context (avg) ;6.49519052838329;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;6.49519052838329;
Standard deviation of max size of solve for own context (max) ;6.49519052838329;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;1.0205709696E10;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;10205709696;
Product of nb of solve for external context (max) ;10205709696;
Product of total size of solve for external context (avg) ;1.4403963075554E13;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;14403963075554;
Product of total size of solve for external context (max) ;14403963075554;
Product of max size of solve for external context (avg) ;314874.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;314874;
Product of max size of solve for external context (max) ;314874;
Product of min size of solve for external context (avg) ;64.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;64;
Product of min size of solve for external context (max) ;64;
Max of nb of solve for external context (avg) ;373.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;373;
Max of nb of solve for external context (max) ;373;
Max of total size of solve for external context (avg) ;2281.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;2281;
Max of total size of solve for external context (max) ;2281;
Max of max size of solve for external context (avg) ;34.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;34;
Max of max size of solve for external context (max) ;34;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;273.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;273;
Min of nb of solve for external context (max) ;273;
Min of total size of solve for external context (avg) ;1501.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;1501;
Min of total size of solve for external context (max) ;1501;
Min of max size of solve for external context (avg) ;21.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;21;
Min of max size of solve for external context (max) ;21;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;1282.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;1282;
Sum of nb of solve for external context (max) ;1282;
Sum of total size of solve for external context (avg) ;7907.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;7907;
Sum of total size of solve for external context (max) ;7907;
Sum of max size of solve for external context (avg) ;97.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;97;
Sum of max size of solve for external context (max) ;97;
Sum of min size of solve for external context (avg) ;12.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;12;
Sum of min size of solve for external context (max) ;12;
Average of nb of solve for external context (avg) ;320.5;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;320.5;
Average of nb of solve for external context (max) ;320.5;
Average of total size of solve for external context (avg) ;1976.75;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;1976.75;
Average of total size of solve for external context (max) ;1976.75;
Average of max size of solve for external context (avg) ;24.25;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;24.25;
Average of max size of solve for external context (max) ;24.25;
Average of min size of solve for external context (avg) ;3.0;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;3.0;
Average of min size of solve for external context (max) ;3.0;
Standard deviation of nb of solve for external context (avg) ;41.30677910464576;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;41.30677910464576;
Standard deviation of nb of solve for external context (max) ;41.30677910464576;
Standard deviation of total size of solve for external context (avg) ;326.86264316987956;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;326.86264316987956;
Standard deviation of total size of solve for external context (max) ;326.86264316987956;
Standard deviation of max size of solve for external context (avg) ;5.629165124598851;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;5.629165124598851;
Standard deviation of max size of solve for external context (max) ;5.629165124598851;
Standard deviation of min size of solve for external context (avg) ;1.0;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;1.0;
Standard deviation of min size of solve for external context (max) ;1.0;
Product of nb of solve for covered manif. (avg) ;1.96812E7;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;19681200;
Product of nb of solve for covered manif. (max) ;19681200;
Product of total size of solve for covered manif. (avg) ;1.07169974208E12;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;1071699742080;
Product of total size of solve for covered manif. (max) ;1071699742080;
Product of max size of solve for covered manif. (avg) ;578125.0;
