;v0.3.139e1_DAREscheduleVariant_ECAI-CL_DARE_8All
Standard deviation of nb of solve for own context (min) ;43.3876062372655;
Standard deviation of nb of solve for own context (max) ;43.3876062372655;
Standard deviation of total size of solve for own context (avg) ;2968.3339919052237;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;2968.3339919052237;
Standard deviation of total size of solve for own context (max) ;2968.3339919052237;
Standard deviation of max size of solve for own context (avg) ;55.71972272005667;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;55.71972272005667;
Standard deviation of max size of solve for own context (max) ;55.71972272005667;
Standard deviation of min size of solve for own context (avg) ;1.7320508075688772;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;1.7320508075688772;
Standard deviation of min size of solve for own context (max) ;1.7320508075688772;
Product of nb of solve for external context (avg) ;3.2262064128E11;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;322620641280;
Product of nb of solve for external context (max) ;322620641280;
Product of total size of solve for external context (avg) ;8.2291549945262531E18;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;8229154994526253516;
Product of total size of solve for external context (max) ;8229154994526253516;
Product of max size of solve for external context (avg) ;5.2828056E12;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;5282805600000;
Product of max size of solve for external context (max) ;5282805600000;
Product of min size of solve for external context (avg) ;576.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;576;
Product of min size of solve for external context (max) ;576;
Max of nb of solve for external context (avg) ;70.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;70;
Max of nb of solve for external context (max) ;70;
Max of total size of solve for external context (avg) ;1361.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;1361;
Max of total size of solve for external context (max) ;1361;
Max of max size of solve for external context (avg) ;95.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;95;
Max of max size of solve for external context (max) ;95;
Max of min size of solve for external context (avg) ;9.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;9;
Max of min size of solve for external context (max) ;9;
Min of nb of solve for external context (avg) ;9.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;9;
Min of nb of solve for external context (max) ;9;
Min of total size of solve for external context (avg) ;86.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;86;
Min of total size of solve for external context (max) ;86;
Min of max size of solve for external context (avg) ;15.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;15;
Min of max size of solve for external context (max) ;15;
Min of min size of solve for external context (avg) ;1.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;1;
Min of min size of solve for external context (max) ;1;
Sum of nb of solve for external context (avg) ;272.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;272;
Sum of nb of solve for external context (max) ;272;
Sum of total size of solve for external context (avg) ;4212.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;4212;
Sum of total size of solve for external context (max) ;4212;
Sum of max size of solve for external context (avg) ;371.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;371;
Sum of max size of solve for external context (max) ;371;
Sum of min size of solve for external context (avg) ;25.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;25;
Sum of min size of solve for external context (max) ;25;
Average of nb of solve for external context (avg) ;34.0;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;34.0;
Average of nb of solve for external context (max) ;34.0;
Average of total size of solve for external context (avg) ;526.5;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;526.5;
Average of total size of solve for external context (max) ;526.5;
Average of max size of solve for external context (avg) ;46.375;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;46.375;
Average of max size of solve for external context (max) ;46.375;
Average of min size of solve for external context (avg) ;3.125;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;3.125;
Average of min size of solve for external context (max) ;3.125;
Standard deviation of nb of solve for external context (avg) ;19.544820285692065;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;19.544820285692065;
Standard deviation of nb of solve for external context (max) ;19.544820285692065;
Standard deviation of total size of solve for external context (avg) ;421.5038552611352;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;421.5038552611352;
Standard deviation of total size of solve for external context (max) ;421.5038552611352;
Standard deviation of max size of solve for external context (avg) ;26.35307145286864;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;26.35307145286864;
Standard deviation of max size of solve for external context (max) ;26.35307145286864;
Standard deviation of min size of solve for external context (avg) ;2.6190408549696205;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;2.6190408549696205;
Standard deviation of min size of solve for external context (max) ;2.6190408549696205;
Product of nb of solve for covered manif. (avg) ;2.916E10;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;29160000000;
Product of nb of solve for covered manif. (max) ;29160000000;
Product of total size of solve for covered manif. (avg) ;6.9385209629872968E18;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;6938520962987296768;
Product of total size of solve for covered manif. (max) ;6938520962987296768;
Product of max size of solve for covered manif. (avg) ;2.18209001472E12;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;2182090014720;
Product of max size of solve for covered manif. (max) ;2182090014720;
Product of min size of solve for covered manif. (avg) ;17496.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;17496;
Product of min size of solve for covered manif. (max) ;17496;
Max of nb of solve for covered manif. (avg) ;60.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;60;
Max of nb of solve for covered manif. (max) ;60;
Max of total size of solve for covered manif. (avg) ;1270.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;1270;
Max of total size of solve for covered manif. (max) ;1270;
Max of max size of solve for covered manif. (avg) ;48.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;48;
Max of max size of solve for covered manif. (max) ;48;
Max of min size of solve for covered manif. (avg) ;8.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;8;
Max of min size of solve for covered manif. (max) ;8;
Min of nb of solve for covered manif. (avg) ;10.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;10;
Min of nb of solve for covered manif. (max) ;10;
Min of total size of solve for covered manif. (avg) ;100.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;100;
Min of total size of solve for covered manif. (max) ;100;
Min of max size of solve for covered manif. (avg) ;28.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;28;
Min of max size of solve for covered manif. (max) ;28;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;197.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;197;
Sum of nb of solve for covered manif. (max) ;197;
Sum of total size of solve for covered manif. (avg) ;3158.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;3158;
Sum of total size of solve for covered manif. (max) ;3158;
Sum of max size of solve for covered manif. (avg) ;283.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;283;
Sum of max size of solve for covered manif. (max) ;283;
Sum of min size of solve for covered manif. (avg) ;29.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;29;
Sum of min size of solve for covered manif. (max) ;29;
Average of nb of solve for covered manif. (avg) ;24.625;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;24.625;
Average of nb of solve for covered manif. (max) ;24.625;
Average of total size of solve for covered manif. (avg) ;394.75;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;394.75;
Average of total size of solve for covered manif. (max) ;394.75;
Average of max size of solve for covered manif. (avg) ;35.375;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;35.375;
Average of max size of solve for covered manif. (max) ;35.375;
Average of min size of solve for covered manif. (avg) ;3.625;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.625;
Average of min size of solve for covered manif. (max) ;3.625;
Standard deviation of nb of solve for covered manif. (avg) ;15.881888269346312;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
