;v0.3.135e1_chain8_ECAI_Ligne_8Summ
Total size of {Check Context} received (avg) ;7994.0;
Total size of {Check Context} received (stddev) ;0.0;
Total size of {Check Context} received (min) ;7994;
Total size of {Check Context} received (max) ;7994;
Global Max size of {Completeness counter-example} received (avg) ;7.0;
Global Max size of {Completeness counter-example} received (stddev) ;0.0;
Global Max size of {Completeness counter-example} received (min) ;7;
Global Max size of {Completeness counter-example} received (max) ;7;
Nb of {Completeness counter-example} received (avg) ;114.0;
Nb of {Completeness counter-example} received (stddev) ;0.0;
Nb of {Completeness counter-example} received (min) ;114;
Nb of {Completeness counter-example} received (max) ;114;
