;v0.3.1395e1_chain8-4_Inc-CL_Ligne_4All
Standard deviation of min size of solve for external context (avg) ;1.0;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;1.0;
Standard deviation of min size of solve for external context (max) ;1.0;
Product of nb of solve for covered manif. (avg) ;680846.0;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;680846;
Product of nb of solve for covered manif. (max) ;680846;
Product of total size of solve for covered manif. (avg) ;2.856840192E10;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;28568401920;
Product of total size of solve for covered manif. (max) ;28568401920;
Product of max size of solve for covered manif. (avg) ;578125.0;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;578125;
Product of max size of solve for covered manif. (max) ;578125;
Product of min size of solve for covered manif. (avg) ;81.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;81;
Product of min size of solve for covered manif. (max) ;81;
Max of nb of solve for covered manif. (avg) ;41.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;41;
Max of nb of solve for covered manif. (max) ;41;
Max of total size of solve for covered manif. (avg) ;534.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;534;
Max of total size of solve for covered manif. (max) ;534;
Max of max size of solve for covered manif. (avg) ;37.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;37;
Max of max size of solve for covered manif. (max) ;37;
Max of min size of solve for covered manif. (avg) ;3.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;3;
Max of min size of solve for covered manif. (max) ;3;
Min of nb of solve for covered manif. (avg) ;19.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;19;
Min of nb of solve for covered manif. (max) ;19;
Min of total size of solve for covered manif. (avg) ;288.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;288;
Min of total size of solve for covered manif. (max) ;288;
Min of max size of solve for covered manif. (avg) ;25.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;25;
Min of max size of solve for covered manif. (max) ;25;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;121.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;121;
Sum of nb of solve for covered manif. (max) ;121;
Sum of total size of solve for covered manif. (avg) ;1689.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;1689;
Sum of total size of solve for covered manif. (max) ;1689;
Sum of max size of solve for covered manif. (avg) ;112.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;112;
Sum of max size of solve for covered manif. (max) ;112;
Sum of min size of solve for covered manif. (avg) ;12.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;12;
Sum of min size of solve for covered manif. (max) ;12;
Average of nb of solve for covered manif. (avg) ;30.25;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;30.25;
Average of nb of solve for covered manif. (max) ;30.25;
Average of total size of solve for covered manif. (avg) ;422.25;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;422.25;
Average of total size of solve for covered manif. (max) ;422.25;
Average of max size of solve for covered manif. (avg) ;28.0;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;28.0;
Average of max size of solve for covered manif. (max) ;28.0;
Average of min size of solve for covered manif. (avg) ;3.0;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.0;
