;v0.3.136e1_t08r1-dist1-6ag_Inc-CL_Ligne_6Summ
Total size of {Acknowledge} received (avg) ;44.0;
Total size of {Acknowledge} received (stddev) ;0.0;
Total size of {Acknowledge} received (min) ;44;
Total size of {Acknowledge} received (max) ;44;
Global Max size of {Deny} received (avg) ;465.0;
Global Max size of {Deny} received (stddev) ;0.0;
Global Max size of {Deny} received (min) ;465;
Global Max size of {Deny} received (max) ;465;
Nb of {Deny} received (avg) ;12.0;
Nb of {Deny} received (stddev) ;0.0;
Nb of {Deny} received (min) ;12;
Nb of {Deny} received (max) ;12;
Total size of {Deny} received (avg) ;4612.0;
Total size of {Deny} received (stddev) ;0.0;
Total size of {Deny} received (min) ;4612;
Total size of {Deny} received (max) ;4612;
Global Max size of {Propose} received (avg) ;524.0;
Global Max size of {Propose} received (stddev) ;0.0;
Global Max size of {Propose} received (min) ;524;
Global Max size of {Propose} received (max) ;524;
Nb of {Propose} received (avg) ;38.0;
Nb of {Propose} received (stddev) ;0.0;
Nb of {Propose} received (min) ;38;
Nb of {Propose} received (max) ;38;
Total size of {Propose} received (avg) ;11095.0;
Total size of {Propose} received (stddev) ;0.0;
Total size of {Propose} received (min) ;11095;
Total size of {Propose} received (max) ;11095;
Global Max size of {Acknowledge confirmation} received (avg) ;524.0;
Global Max size of {Acknowledge confirmation} received (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} received (min) ;524;
Global Max size of {Acknowledge confirmation} received (max) ;524;
Nb of {Acknowledge confirmation} received (avg) ;32.0;
Nb of {Acknowledge confirmation} received (stddev) ;0.0;
Nb of {Acknowledge confirmation} received (min) ;32;
Nb of {Acknowledge confirmation} received (max) ;32;
Total size of {Acknowledge confirmation} received (avg) ;9488.0;
Total size of {Acknowledge confirmation} received (stddev) ;0.0;
Total size of {Acknowledge confirmation} received (min) ;9488;
Total size of {Acknowledge confirmation} received (max) ;9488;
Global Max size of {Withdraw incomplete} received (avg) ;2.0;
Global Max size of {Withdraw incomplete} received (stddev) ;0.0;
Global Max size of {Withdraw incomplete} received (min) ;2;
Global Max size of {Withdraw incomplete} received (max) ;2;
Nb of {Withdraw incomplete} received (avg) ;5.0;
Nb of {Withdraw incomplete} received (stddev) ;0.0;
Nb of {Withdraw incomplete} received (min) ;5;
Nb of {Withdraw incomplete} received (max) ;5;
Total size of {Withdraw incomplete} received (avg) ;12.0;
Total size of {Withdraw incomplete} received (stddev) ;0.0;
Total size of {Withdraw incomplete} received (min) ;12;
Total size of {Withdraw incomplete} received (max) ;12;
Global Max size of {Argue} received (avg) ;393.0;
Global Max size of {Argue} received (stddev) ;0.0;
Global Max size of {Argue} received (min) ;393;
Global Max size of {Argue} received (max) ;393;
Nb of {Argue} received (avg) ;13.0;
Nb of {Argue} received (stddev) ;0.0;
Nb of {Argue} received (min) ;13;
Nb of {Argue} received (max) ;13;
Total size of {Argue} received (avg) ;2429.0;
Total size of {Argue} received (stddev) ;0.0;
Total size of {Argue} received (min) ;2429;
Total size of {Argue} received (max) ;2429;
Global Max size of {Accept} received (avg) ;334.0;
Global Max size of {Accept} received (stddev) ;0.0;
Global Max size of {Accept} received (min) ;334;
Global Max size of {Accept} received (max) ;334;
Nb of {Accept} received (avg) ;-1.0;
Nb of {Accept} received (stddev) ;0.0;
Nb of {Accept} received (min) ;-1;
Nb of {Accept} received (max) ;0;
Total size of {Accept} received (avg) ;745.0;
Total size of {Accept} received (stddev) ;0.0;
Total size of {Accept} received (min) ;745;
Total size of {Accept} received (max) ;745;
Global Max size of {End of local conversation} received (avg) ;10.0;
Global Max size of {End of local conversation} received (stddev) ;0.0;
Global Max size of {End of local conversation} received (min) ;10;
Global Max size of {End of local conversation} received (max) ;10;
Nb of {End of local conversation} received (avg) ;3.0;
Nb of {End of local conversation} received (stddev) ;0.0;
Nb of {End of local conversation} received (min) ;3;
Nb of {End of local conversation} received (max) ;3;
Total size of {End of local conversation} received (avg) ;57.0;
Total size of {End of local conversation} received (stddev) ;0.0;
Total size of {End of local conversation} received (min) ;57;
Total size of {End of local conversation} received (max) ;57;
Global Max size of {Request} received (avg) ;18.0;
Global Max size of {Request} received (stddev) ;0.0;
Global Max size of {Request} received (min) ;18;
Global Max size of {Request} received (max) ;18;
Nb of {Request} received (avg) ;3.0;
Nb of {Request} received (stddev) ;0.0;
Nb of {Request} received (min) ;3;
Nb of {Request} received (max) ;3;
Total size of {Request} received (avg) ;88.0;
Total size of {Request} received (stddev) ;0.0;
Total size of {Request} received (min) ;88;
Total size of {Request} received (max) ;88;
Global Max size of {Propose again} received (avg) ;266.0;
Global Max size of {Propose again} received (stddev) ;0.0;
Global Max size of {Propose again} received (min) ;266;
Global Max size of {Propose again} received (max) ;266;
Nb of {Propose again} received (avg) ;-2.0;
Nb of {Propose again} received (stddev) ;0.0;
Nb of {Propose again} received (min) ;-2;
Nb of {Propose again} received (max) ;0;
Total size of {Propose again} received (avg) ;528.0;
Total size of {Propose again} received (stddev) ;0.0;
Total size of {Propose again} received (min) ;528;
Total size of {Propose again} received (max) ;528;
Global Max size of {Coherence counter-example} received (avg) ;2.0;
Global Max size of {Coherence counter-example} received (stddev) ;0.0;
Global Max size of {Coherence counter-example} received (min) ;2;
Global Max size of {Coherence counter-example} received (max) ;2;
Nb of {Coherence counter-example} received (avg) ;-4.0;
Nb of {Coherence counter-example} received (stddev) ;0.0;
Nb of {Coherence counter-example} received (min) ;-4;
Nb of {Coherence counter-example} received (max) ;0;
Total size of {Coherence counter-example} received (avg) ;-3.0;
Total size of {Coherence counter-example} received (stddev) ;0.0;
Total size of {Coherence counter-example} received (min) ;-3;
Total size of {Coherence counter-example} received (max) ;0;
Global Max size of {Check Context} received (avg) ;68.0;
Global Max size of {Check Context} received (stddev) ;0.0;
Global Max size of {Check Context} received (min) ;68;
Global Max size of {Check Context} received (max) ;68;
