;v0.3.1395e1_chain8_ECAI-CL_Circuit_8All
Standard deviation of max size of solve for external context (max) ;5.1478150704935;
Standard deviation of min size of solve for external context (avg) ;0.0;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.0;
Standard deviation of min size of solve for external context (max) ;0;
Product of nb of solve for covered manif. (avg) ;6.4399104E7;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;64399104;
Product of nb of solve for covered manif. (max) ;64399104;
Product of total size of solve for covered manif. (avg) ;9.146647246464E15;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;9146647246464000;
Product of total size of solve for covered manif. (max) ;9146647246464000;
Product of max size of solve for covered manif. (avg) ;6.1341696E9;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;6134169600;
Product of max size of solve for covered manif. (max) ;6134169600;
Product of min size of solve for covered manif. (avg) ;17496.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;17496;
Product of min size of solve for covered manif. (max) ;17496;
Max of nb of solve for covered manif. (avg) ;12.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;12;
Max of nb of solve for covered manif. (max) ;12;
Max of total size of solve for covered manif. (avg) ;182.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;182;
Max of total size of solve for covered manif. (max) ;182;
Max of max size of solve for covered manif. (avg) ;26.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;26;
Max of max size of solve for covered manif. (max) ;26;
Max of min size of solve for covered manif. (avg) ;8.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;8;
Max of min size of solve for covered manif. (max) ;8;
Min of nb of solve for covered manif. (avg) ;6.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;6;
Min of nb of solve for covered manif. (max) ;6;
Min of total size of solve for covered manif. (avg) ;48.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;48;
Min of total size of solve for covered manif. (max) ;48;
Min of max size of solve for covered manif. (avg) ;9.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;9;
Min of max size of solve for covered manif. (max) ;9;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;78.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;78;
Sum of nb of solve for covered manif. (max) ;78;
Sum of total size of solve for covered manif. (avg) ;845.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;845;
Sum of total size of solve for covered manif. (max) ;845;
Sum of max size of solve for covered manif. (avg) ;140.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;140;
Sum of max size of solve for covered manif. (max) ;140;
Sum of min size of solve for covered manif. (avg) ;29.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;29;
Sum of min size of solve for covered manif. (max) ;29;
Average of nb of solve for covered manif. (avg) ;9.75;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;9.75;
Average of nb of solve for covered manif. (max) ;9.75;
Average of total size of solve for covered manif. (avg) ;105.625;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;105.625;
Average of total size of solve for covered manif. (max) ;105.625;
Average of max size of solve for covered manif. (avg) ;17.5;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;17.5;
Average of max size of solve for covered manif. (max) ;17.5;
Average of min size of solve for covered manif. (avg) ;3.625;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.625;
Average of min size of solve for covered manif. (max) ;3.625;
Standard deviation of nb of solve for covered manif. (avg) ;2.222048604328897;
