;v0.3.1395e1_exEcai-2ag_ECAI_Clique_2Summ
Total size of {Acknowledge} sent (min) ;8;
Total size of {Acknowledge} sent (max) ;8;
Global Max size of {Confirm context} sent (avg) ;20.0;
Global Max size of {Confirm context} sent (stddev) ;0.0;
Global Max size of {Confirm context} sent (min) ;20;
Global Max size of {Confirm context} sent (max) ;20;
Nb of {Confirm context} sent (avg) ;5.0;
Nb of {Confirm context} sent (stddev) ;0.0;
Nb of {Confirm context} sent (min) ;5;
Nb of {Confirm context} sent (max) ;5;
Total size of {Confirm context} sent (avg) ;64.0;
Total size of {Confirm context} sent (stddev) ;0.0;
Total size of {Confirm context} sent (min) ;64;
Total size of {Confirm context} sent (max) ;64;
Global Max size of {Completeness counter-example} sent (avg) ;10.0;
Global Max size of {Completeness counter-example} sent (stddev) ;0.0;
Global Max size of {Completeness counter-example} sent (min) ;10;
Global Max size of {Completeness counter-example} sent (max) ;10;
Nb of {Completeness counter-example} sent (avg) ;3.0;
Nb of {Completeness counter-example} sent (stddev) ;0.0;
Nb of {Completeness counter-example} sent (min) ;3;
Nb of {Completeness counter-example} sent (max) ;3;
Total size of {Completeness counter-example} sent (avg) ;30.0;
Total size of {Completeness counter-example} sent (stddev) ;0.0;
Total size of {Completeness counter-example} sent (min) ;30;
Total size of {Completeness counter-example} sent (max) ;30;
Global Max size of {Argue} sent (avg) ;20.0;
Global Max size of {Argue} sent (stddev) ;0.0;
Global Max size of {Argue} sent (min) ;20;
Global Max size of {Argue} sent (max) ;20;
Nb of {Argue} sent (avg) ;2.0;
Nb of {Argue} sent (stddev) ;0.0;
Nb of {Argue} sent (min) ;2;
Nb of {Argue} sent (max) ;2;
Total size of {Argue} sent (avg) ;38.0;
Total size of {Argue} sent (stddev) ;0.0;
Total size of {Argue} sent (min) ;38;
Total size of {Argue} sent (max) ;38;
Global Max size of {Accept} sent (avg) ;22.0;
Global Max size of {Accept} sent (stddev) ;0.0;
Global Max size of {Accept} sent (min) ;22;
Global Max size of {Accept} sent (max) ;22;
Nb of {Accept} sent (avg) ;0.0;
Nb of {Accept} sent (stddev) ;0.0;
Nb of {Accept} sent (min) ;0;
Nb of {Accept} sent (max) ;0;
Total size of {Accept} sent (avg) ;21.0;
Total size of {Accept} sent (stddev) ;0.0;
Total size of {Accept} sent (min) ;21;
Total size of {Accept} sent (max) ;21;
Global Max size of {End of local conversation} sent (avg) ;10.0;
