;v0.3.136e1_DAREschedule_ECAI_DARE_8All
Min of min size of solve for external context (avg) ;1.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;1;
Min of min size of solve for external context (max) ;1;
Sum of nb of solve for external context (avg) ;2675.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;2675;
Sum of nb of solve for external context (max) ;2675;
Sum of total size of solve for external context (avg) ;45715.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;45715;
Sum of total size of solve for external context (max) ;45715;
Sum of max size of solve for external context (avg) ;699.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;699;
Sum of max size of solve for external context (max) ;699;
Sum of min size of solve for external context (avg) ;29.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;29;
Sum of min size of solve for external context (max) ;29;
Average of nb of solve for external context (avg) ;334.375;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;334.375;
Average of nb of solve for external context (max) ;334.375;
Average of total size of solve for external context (avg) ;5714.375;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;5714.375;
Average of total size of solve for external context (max) ;5714.375;
Average of max size of solve for external context (avg) ;87.375;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;87.375;
Average of max size of solve for external context (max) ;87.375;
Average of min size of solve for external context (avg) ;3.625;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;3.625;
Average of min size of solve for external context (max) ;3.625;
Standard deviation of nb of solve for external context (avg) ;203.3758451119503;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;203.3758451119503;
Standard deviation of nb of solve for external context (max) ;203.3758451119503;
Standard deviation of total size of solve for external context (avg) ;3976.1855759477576;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;3976.1855759477576;
Standard deviation of total size of solve for external context (max) ;3976.1855759477576;
Standard deviation of max size of solve for external context (avg) ;46.40834380798349;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;46.40834380798349;
Standard deviation of max size of solve for external context (max) ;46.40834380798349;
Standard deviation of min size of solve for external context (avg) ;0.9921567416492215;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.9921567416492215;
Standard deviation of min size of solve for external context (max) ;0.9921567416492215;
Product of nb of solve for covered manif. (avg) ;2.8473141788340388E18;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;2847314178834038784;
Product of nb of solve for covered manif. (max) ;2847314178834038784;
Product of total size of solve for covered manif. (avg) ;-7.810650477861824E17;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;-781065047786182450;
Product of total size of solve for covered manif. (max) ;0;
Product of max size of solve for covered manif. (avg) ;1.778493024E14;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;177849302400000;
Product of max size of solve for covered manif. (max) ;177849302400000;
Product of min size of solve for covered manif. (avg) ;6561.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;6561;
Product of min size of solve for covered manif. (max) ;6561;
Max of nb of solve for covered manif. (avg) ;432.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;432;
Max of nb of solve for covered manif. (max) ;432;
Max of total size of solve for covered manif. (avg) ;10465.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;10465;
Max of total size of solve for covered manif. (max) ;10465;
Max of max size of solve for covered manif. (avg) ;99.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;99;
Max of max size of solve for covered manif. (max) ;99;
Max of min size of solve for covered manif. (avg) ;3.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;3;
Max of min size of solve for covered manif. (max) ;3;
Min of nb of solve for covered manif. (avg) ;104.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;104;
