;v0.3.1395e1_chain8-4_Inc-CL_Circuit_4All
Average of total size of solve for covered manif. (max) ;402.25;
Average of max size of solve for covered manif. (avg) ;28.0;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;28.0;
Average of max size of solve for covered manif. (max) ;28.0;
Average of min size of solve for covered manif. (avg) ;3.0;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.0;
Average of min size of solve for covered manif. (max) ;3.0;
Standard deviation of nb of solve for covered manif. (avg) ;6.2599920127744575;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;6.2599920127744575;
Standard deviation of nb of solve for covered manif. (max) ;6.2599920127744575;
Standard deviation of total size of solve for covered manif. (avg) ;84.11116156610845;
Standard deviation of total size of solve for covered manif. (stddev) ;0.0;
Standard deviation of total size of solve for covered manif. (min) ;84.11116156610845;
Standard deviation of total size of solve for covered manif. (max) ;84.11116156610845;
Standard deviation of max size of solve for covered manif. (avg) ;5.196152422706632;
