;v0.3.135e1_chain8_Inc-CL_Ligne_8All
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;47.58134482126372;
Standard deviation of nb of solve for external context (max) ;47.58134482126372;
Standard deviation of total size of solve for external context (avg) ;737.7823929689566;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;737.7823929689566;
Standard deviation of total size of solve for external context (max) ;737.7823929689566;
Standard deviation of max size of solve for external context (avg) ;5.035809269620922;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;5.035809269620922;
Standard deviation of max size of solve for external context (max) ;5.035809269620922;
Standard deviation of min size of solve for external context (avg) ;0.8660254037844386;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.8660254037844386;
Standard deviation of min size of solve for external context (max) ;0.8660254037844386;
Product of nb of solve for covered manif. (avg) ;4.4351812333088E14;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;443518123330880;
Product of nb of solve for covered manif. (max) ;443518123330880;
Product of total size of solve for covered manif. (avg) ;-2.608150999808938E18;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;-2608150999808937984;
Product of total size of solve for covered manif. (max) ;0;
Product of max size of solve for covered manif. (avg) ;9.25E10;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;92500000000;
Product of max size of solve for covered manif. (max) ;92500000000;
Product of min size of solve for covered manif. (avg) ;17496.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;17496;
Product of min size of solve for covered manif. (max) ;17496;
Max of nb of solve for covered manif. (avg) ;115.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;115;
Max of nb of solve for covered manif. (max) ;115;
Max of total size of solve for covered manif. (avg) ;2032.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;2032;
Max of total size of solve for covered manif. (max) ;2032;
Max of max size of solve for covered manif. (avg) ;37.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;37;
Max of max size of solve for covered manif. (max) ;37;
