;v0.3.13e10_exEcai-3ag_Inc_Ligne_3Summ
Total size of {End of local conversation} received (avg) ;80.0;
Total size of {End of local conversation} received (stddev) ;0.0;
Total size of {End of local conversation} received (min) ;80;
Total size of {End of local conversation} received (max) ;80;
Global Max size of {Request} received (avg) ;18.0;
Global Max size of {Request} received (stddev) ;0.0;
Global Max size of {Request} received (min) ;18;
Global Max size of {Request} received (max) ;18;
Nb of {Request} received (avg) ;4.0;
Nb of {Request} received (stddev) ;0.0;
Nb of {Request} received (min) ;4;
Nb of {Request} received (max) ;4;
Total size of {Request} received (avg) ;72.0;
Total size of {Request} received (stddev) ;0.0;
Total size of {Request} received (min) ;72;
Total size of {Request} received (max) ;72;
Global Max size of {Acknowledge} received (avg) ;2.0;
Global Max size of {Acknowledge} received (stddev) ;0.0;
Global Max size of {Acknowledge} received (min) ;2;
Global Max size of {Acknowledge} received (max) ;2;
Nb of {Acknowledge} received (avg) ;9.0;
Nb of {Acknowledge} received (stddev) ;0.0;
Nb of {Acknowledge} received (min) ;9;
Nb of {Acknowledge} received (max) ;9;
Total size of {Acknowledge} received (avg) ;18.0;
Total size of {Acknowledge} received (stddev) ;0.0;
Total size of {Acknowledge} received (min) ;18;
Total size of {Acknowledge} received (max) ;18;
Global Max size of {Coherence counter-example} received (avg) ;2.0;
Global Max size of {Coherence counter-example} received (stddev) ;0.0;
Global Max size of {Coherence counter-example} received (min) ;2;
Global Max size of {Coherence counter-example} received (max) ;2;
Nb of {Coherence counter-example} received (avg) ;1.0;
Nb of {Coherence counter-example} received (stddev) ;0.0;
Nb of {Coherence counter-example} received (min) ;1;
Nb of {Coherence counter-example} received (max) ;1;
Total size of {Coherence counter-example} received (avg) ;3.0;
Total size of {Coherence counter-example} received (stddev) ;0.0;
Total size of {Coherence counter-example} received (min) ;3;
Total size of {Coherence counter-example} received (max) ;3;
Global Max size of {Completeness counter-example} received (avg) ;10.0;
Global Max size of {Completeness counter-example} received (stddev) ;0.0;
Global Max size of {Completeness counter-example} received (min) ;10;
Global Max size of {Completeness counter-example} received (max) ;10;
Nb of {Completeness counter-example} received (avg) ;7.0;
Nb of {Completeness counter-example} received (stddev) ;0.0;
Nb of {Completeness counter-example} received (min) ;7;
Nb of {Completeness counter-example} received (max) ;7;
Total size of {Completeness counter-example} received (avg) ;70.0;
Total size of {Completeness counter-example} received (stddev) ;0.0;
Total size of {Completeness counter-example} received (min) ;70;
Total size of {Completeness counter-example} received (max) ;70;
Global Max size of {Accept} received (avg) ;61.0;
Global Max size of {Accept} received (stddev) ;0.0;
Global Max size of {Accept} received (min) ;61;
Global Max size of {Accept} received (max) ;61;
Nb of {Accept} received (avg) ;3.0;
Nb of {Accept} received (stddev) ;0.0;
Nb of {Accept} received (min) ;3;
Nb of {Accept} received (max) ;3;
Total size of {Accept} received (avg) ;148.0;
Total size of {Accept} received (stddev) ;0.0;
Total size of {Accept} received (min) ;148;
Total size of {Accept} received (max) ;148;
Global Max size of {Finish} received (avg) ;0.0;
Global Max size of {Finish} received (stddev) ;0.0;
Global Max size of {Finish} received (min) ;0;
Global Max size of {Finish} received (max) ;0;
Nb of {Finish} received (avg) ;3.0;
Nb of {Finish} received (stddev) ;0.0;
Nb of {Finish} received (min) ;3;
Nb of {Finish} received (max) ;3;
Total size of {Finish} received (avg) ;0.0;
Total size of {Finish} received (stddev) ;0.0;
Total size of {Finish} received (min) ;0;
Total size of {Finish} received (max) ;0;
