;e1_chain7_Inc-CL_Ligne_0All
Sum of min size of solve for own context (min) ;35;
Sum of min size of solve for own context (max) ;35;
Average of nb of solve for own context (avg) ;87.375;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;87.375;
Average of nb of solve for own context (max) ;87.375;
Average of total size of solve for own context (avg) ;1411.625;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;1411.625;
Average of total size of solve for own context (max) ;1411.625;
Average of max size of solve for own context (avg) ;28.125;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;28.125;
Average of max size of solve for own context (max) ;28.125;
Average of min size of solve for own context (avg) ;4.375;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.375;
Average of min size of solve for own context (max) ;4.375;
Standard deviation of nb of solve for own context (avg) ;82.6285929627269;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;82.6285929627269;
Standard deviation of nb of solve for own context (max) ;82.6285929627269;
Standard deviation of total size of solve for own context (avg) ;1227.1787703407356;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;1227.1787703407356;
Standard deviation of total size of solve for own context (max) ;1227.1787703407356;
Standard deviation of max size of solve for own context (avg) ;5.840323193111833;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;5.840323193111833;
Standard deviation of max size of solve for own context (max) ;5.840323193111833;
Standard deviation of min size of solve for own context (avg) ;2.394655507583502;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;2.394655507583502;
Standard deviation of min size of solve for own context (max) ;2.394655507583502;
Product of nb of solve for external context (avg) ;3.602878125E14;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;360287812500000;
Product of nb of solve for external context (max) ;360287812500000;
Product of total size of solve for external context (avg) ;-9.135807669290622E18;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;-9135807669290622336;
Product of total size of solve for external context (max) ;0;
Product of max size of solve for external context (avg) ;6.757515072E9;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;6757515072;
Product of max size of solve for external context (max) ;6757515072;
Product of min size of solve for external context (avg) ;65536.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;65536;
Product of min size of solve for external context (max) ;65536;
Max of nb of solve for external context (avg) ;175.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;175;
Max of nb of solve for external context (max) ;175;
Max of total size of solve for external context (avg) ;1826.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;1826;
Max of total size of solve for external context (max) ;1826;
Max of max size of solve for external context (avg) ;28.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;28;
Max of max size of solve for external context (max) ;28;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;11.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;11;
Min of nb of solve for external context (max) ;11;
Min of total size of solve for external context (avg) ;89.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;89;
Min of total size of solve for external context (max) ;89;
Min of max size of solve for external context (avg) ;11.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;11;
Min of max size of solve for external context (max) ;11;
Min of min size of solve for external context (avg) ;4.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;4;
Min of min size of solve for external context (max) ;4;
Sum of nb of solve for external context (avg) ;722.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;722;
Sum of nb of solve for external context (max) ;722;
Sum of total size of solve for external context (avg) ;6145.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;6145;
Sum of total size of solve for external context (max) ;6145;
Sum of max size of solve for external context (avg) ;141.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;141;
Sum of max size of solve for external context (max) ;141;
Sum of min size of solve for external context (avg) ;32.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;32;
Sum of min size of solve for external context (max) ;32;
Average of nb of solve for external context (avg) ;90.25;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;90.25;
Average of nb of solve for external context (max) ;90.25;
Average of total size of solve for external context (avg) ;768.125;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;768.125;
Average of total size of solve for external context (max) ;768.125;
Average of max size of solve for external context (avg) ;17.625;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;17.625;
Average of max size of solve for external context (max) ;17.625;
Average of min size of solve for external context (avg) ;4.0;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;4.0;
Average of min size of solve for external context (max) ;4.0;
Standard deviation of nb of solve for external context (avg) ;59.109538147409005;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;59.109538147409005;
Standard deviation of nb of solve for external context (max) ;59.109538147409005;
Standard deviation of total size of solve for external context (avg) ;537.3172799892071;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;537.3172799892071;
Standard deviation of total size of solve for external context (max) ;537.3172799892071;
Standard deviation of max size of solve for external context (avg) ;4.973366566019441;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;4.973366566019441;
Standard deviation of max size of solve for external context (max) ;4.973366566019441;
Standard deviation of min size of solve for external context (avg) ;0.0;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.0;
Standard deviation of min size of solve for external context (max) ;0;
Product of nb of solve for covered manif. (avg) ;1.906206892128E12;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;1906206892128;
Product of nb of solve for covered manif. (max) ;1906206892128;
Product of total size of solve for covered manif. (avg) ;1.52161811815052954E18;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;1521618118150529632;
Product of total size of solve for covered manif. (max) ;1521618118150529632;
Product of max size of solve for covered manif. (avg) ;5.92E10;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;59200000000;
Product of max size of solve for covered manif. (max) ;59200000000;
Product of min size of solve for covered manif. (avg) ;17496.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;17496;
Product of min size of solve for covered manif. (max) ;17496;
Max of nb of solve for covered manif. (avg) ;59.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;59;
Max of nb of solve for covered manif. (max) ;59;
Max of total size of solve for covered manif. (avg) ;1102.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;1102;
Max of total size of solve for covered manif. (max) ;1102;
Max of max size of solve for covered manif. (avg) ;37.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;37;
Max of max size of solve for covered manif. (max) ;37;
Max of min size of solve for covered manif. (avg) ;8.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;8;
Max of min size of solve for covered manif. (max) ;8;
Min of nb of solve for covered manif. (avg) ;11.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;11;
Min of nb of solve for covered manif. (max) ;11;
Min of total size of solve for covered manif. (avg) ;137.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;137;
Min of total size of solve for covered manif. (max) ;137;
Min of max size of solve for covered manif. (avg) ;16.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;16;
Min of max size of solve for covered manif. (max) ;16;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;305.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;305;
Sum of nb of solve for covered manif. (max) ;305;
Sum of total size of solve for covered manif. (avg) ;4617.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;4617;
Sum of total size of solve for covered manif. (max) ;4617;
Sum of max size of solve for covered manif. (avg) ;185.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;185;
Sum of max size of solve for covered manif. (max) ;185;
Sum of min size of solve for covered manif. (avg) ;29.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;29;
Sum of min size of solve for covered manif. (max) ;29;
Average of nb of solve for covered manif. (avg) ;38.125;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;38.125;
Average of nb of solve for covered manif. (max) ;38.125;
Average of total size of solve for covered manif. (avg) ;577.125;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;577.125;
Average of total size of solve for covered manif. (max) ;577.125;
Average of max size of solve for covered manif. (avg) ;23.125;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;23.125;
Average of max size of solve for covered manif. (max) ;23.125;
Average of min size of solve for covered manif. (avg) ;3.625;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.625;
Average of min size of solve for covered manif. (max) ;3.625;
Standard deviation of nb of solve for covered manif. (avg) ;14.869746971619927;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;14.869746971619927;
Standard deviation of nb of solve for covered manif. (max) ;14.869746971619927;
Standard deviation of total size of solve for covered manif. (avg) ;289.13899663483653;
Standard deviation of total size of solve for covered manif. (stddev) ;0.0;
