;v0.3.11e1_exEcai-2ag_Inc_Clique_2Summ
Global Max size of {Withdraw} received (max) ;2;
Nb of {Withdraw} received (avg) ;2.0;
Nb of {Withdraw} received (stddev) ;0.0;
Nb of {Withdraw} received (min) ;2;
Nb of {Withdraw} received (max) ;2;
Total size of {Withdraw} received (avg) ;4.0;
Total size of {Withdraw} received (stddev) ;0.0;
Total size of {Withdraw} received (min) ;4;
Total size of {Withdraw} received (max) ;4;
Global Max size of {Propose again} received (avg) ;16.0;
Global Max size of {Propose again} received (stddev) ;0.0;
Global Max size of {Propose again} received (min) ;16;
Global Max size of {Propose again} received (max) ;16;
Nb of {Propose again} received (avg) ;0.0;
Nb of {Propose again} received (stddev) ;0.0;
Nb of {Propose again} received (min) ;0;
Nb of {Propose again} received (max) ;0;
Total size of {Propose again} received (avg) ;15.0;
Total size of {Propose again} received (stddev) ;0.0;
Total size of {Propose again} received (min) ;15;
Total size of {Propose again} received (max) ;15;
Global Max size of {End of local conversation} received (avg) ;10.0;
Global Max size of {End of local conversation} received (stddev) ;0.0;
Global Max size of {End of local conversation} received (min) ;10;
Global Max size of {End of local conversation} received (max) ;10;
Nb of {End of local conversation} received (avg) ;2.0;
Nb of {End of local conversation} received (stddev) ;0.0;
Nb of {End of local conversation} received (min) ;2;
Nb of {End of local conversation} received (max) ;2;
Total size of {End of local conversation} received (avg) ;20.0;
Total size of {End of local conversation} received (stddev) ;0.0;
Total size of {End of local conversation} received (min) ;20;
Total size of {End of local conversation} received (max) ;20;
Global Max size of {Finish} received (avg) ;0.0;
Global Max size of {Finish} received (stddev) ;0.0;
Global Max size of {Finish} received (min) ;0;
Global Max size of {Finish} received (max) ;0;
Nb of {Finish} received (avg) ;2.0;
Nb of {Finish} received (stddev) ;0.0;
Nb of {Finish} received (min) ;2;
Nb of {Finish} received (max) ;2;
Total size of {Finish} received (avg) ;0.0;
Total size of {Finish} received (stddev) ;0.0;
Total size of {Finish} received (min) ;0;
Total size of {Finish} received (max) ;0;
