;v0.3.13e10_exEcai-3ag_ECAI-CL_Clique_3Summ
Total size of {Has Better Hyp} received (avg) ;20.0;
Total size of {Has Better Hyp} received (stddev) ;0.0;
Total size of {Has Better Hyp} received (min) ;20;
Total size of {Has Better Hyp} received (max) ;20;
Global Max size of {Acknowledge} received (avg) ;2.0;
Global Max size of {Acknowledge} received (stddev) ;0.0;
Global Max size of {Acknowledge} received (min) ;2;
Global Max size of {Acknowledge} received (max) ;2;
Nb of {Acknowledge} received (avg) ;11.0;
Nb of {Acknowledge} received (stddev) ;0.0;
Nb of {Acknowledge} received (min) ;11;
Nb of {Acknowledge} received (max) ;11;
Total size of {Acknowledge} received (avg) ;22.0;
Total size of {Acknowledge} received (stddev) ;0.0;
Total size of {Acknowledge} received (min) ;22;
Total size of {Acknowledge} received (max) ;22;
Global Max size of {Completeness counter-example} received (avg) ;10.0;
Global Max size of {Completeness counter-example} received (stddev) ;0.0;
Global Max size of {Completeness counter-example} received (min) ;10;
Global Max size of {Completeness counter-example} received (max) ;10;
Nb of {Completeness counter-example} received (avg) ;7.0;
Nb of {Completeness counter-example} received (stddev) ;0.0;
Nb of {Completeness counter-example} received (min) ;7;
Nb of {Completeness counter-example} received (max) ;7;
Total size of {Completeness counter-example} received (avg) ;70.0;
Total size of {Completeness counter-example} received (stddev) ;0.0;
Total size of {Completeness counter-example} received (min) ;70;
Total size of {Completeness counter-example} received (max) ;70;
Global Max size of {Accept} received (avg) ;33.0;
Global Max size of {Accept} received (stddev) ;0.0;
Global Max size of {Accept} received (min) ;33;
Global Max size of {Accept} received (max) ;33;
Nb of {Accept} received (avg) ;7.0;
Nb of {Accept} received (stddev) ;0.0;
Nb of {Accept} received (min) ;7;
Nb of {Accept} received (max) ;7;
Total size of {Accept} received (avg) ;153.0;
Total size of {Accept} received (stddev) ;0.0;
Total size of {Accept} received (min) ;153;
Total size of {Accept} received (max) ;153;
Global Max size of {Request} received (avg) ;18.0;
Global Max size of {Request} received (stddev) ;0.0;
Global Max size of {Request} received (min) ;18;
Global Max size of {Request} received (max) ;18;
Nb of {Request} received (avg) ;7.0;
Nb of {Request} received (stddev) ;0.0;
Nb of {Request} received (min) ;7;
Nb of {Request} received (max) ;7;
Total size of {Request} received (avg) ;126.0;
Total size of {Request} received (stddev) ;0.0;
Total size of {Request} received (min) ;126;
Total size of {Request} received (max) ;126;
Global Max size of {Coherence counter-example} received (avg) ;2.0;
Global Max size of {Coherence counter-example} received (stddev) ;0.0;
Global Max size of {Coherence counter-example} received (min) ;2;
Global Max size of {Coherence counter-example} received (max) ;2;
Nb of {Coherence counter-example} received (avg) ;3.0;
Nb of {Coherence counter-example} received (stddev) ;0.0;
Nb of {Coherence counter-example} received (min) ;3;
Nb of {Coherence counter-example} received (max) ;3;
Total size of {Coherence counter-example} received (avg) ;6.0;
Total size of {Coherence counter-example} received (stddev) ;0.0;
Total size of {Coherence counter-example} received (min) ;6;
Total size of {Coherence counter-example} received (max) ;6;
Global Max size of {Propose again} received (avg) ;24.0;
Global Max size of {Propose again} received (stddev) ;0.0;
Global Max size of {Propose again} received (min) ;24;
