;v0.3.1395e1_chain8_ECAI_Circuit_8All
Sum of min size of solve for covered manif. (max) ;29;
Average of nb of solve for covered manif. (avg) ;47.125;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;47.125;
Average of nb of solve for covered manif. (max) ;47.125;
Average of total size of solve for covered manif. (avg) ;643.5;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;643.5;
Average of total size of solve for covered manif. (max) ;643.5;
Average of max size of solve for covered manif. (avg) ;23.125;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;23.125;
Average of max size of solve for covered manif. (max) ;23.125;
Average of min size of solve for covered manif. (avg) ;3.625;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.625;
Average of min size of solve for covered manif. (max) ;3.625;
Standard deviation of nb of solve for covered manif. (avg) ;10.647035972513665;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;10.647035972513665;
Standard deviation of nb of solve for covered manif. (max) ;10.647035972513665;
Standard deviation of total size of solve for covered manif. (avg) ;260.8011694759055;
