,distrib,nbAg,method,root,nbConsequencesFound,total time,CPU time by SOLAR,extensions,inferences,consequences sent,clauses sents,nb Messages,total size messages,max CPU time by SOLAR,max extensions,max inferences,max consequences sent,max clauses sents,max nb Messages,max total size messages,min CPU time by SOLAR,min extensions,min inferences,min consequences sent,min clauses sents,min nb Messages,min total size messages,root+AC0-CPU time by SOLAR,root+AC0-extensions,root+AC0-inferences,root+AC0-consequences sent,root+AC0-clauses sents,root+AC0-nb Messages,root+AC0-total size messages
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token,0,0,600407,10986,36872,499902,0,0,19,3529,10302,34505,487268,0,0,4,3346,26,34,219,0,0,3,10,10302,34505,487268,0,0,4,3346
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-0+AC0-4+AC0-5+AC0-3+AC0-2,0,0,600279,7898,315596,1396372,0,0,29,4889,5746,256852,1089784,0,0,5,3588,129,2397,7527,0,0,4,18,646,28042,140536,0,0,5,545
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-1+AC0-5+AC0-4+AC0-2+AC0-3+AC0-0,0,0,600633,2422,53095,320889,0,0,37,1703,1589,46020,285586,0,0,7,530,14,337,1229,0,0,5,110,19,337,1229,0,0,5,171
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-3+AC0-5+AC0-4+AC0-0+AC0-1+AC0-2,0,0,600770,960,5171,23803,0,0,45,710,263,1735,9212,0,0,8,324,104,565,2440,0,0,6,36,104,666,2600,0,0,8,36
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-4+AC0-2+AC0-3+AC0-5+AC0-0+AC0-1,0,0,600800,6344,184711,909995,0,0,27,1176,2687,74096,341936,0,0,5,533,7,12,60,0,0,4,27,1438,50904,234921,0,0,4,209
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-4+AC0-5+AC0-2+AC0-1+AC0-0+AC0-3,0,0,600316,1940,29947,201221,0,0,16,330,978,23333,151259,0,0,3,205,4,9,38,0,0,2,4,4,9,38,0,0,2,4
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-5+AC0-0+AC0-3+AC0-2+AC0-1+AC0-4,0,0,600746,6503,13467,244950,0,0,20,1734,6338,13306,243916,0,0,4,1642,6,11,45,0,0,3,5,6338,13306,243916,0,0,4,1642
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet6,6,DICF+AC0-PB+AC0-Token+AC0-FixedOrder+AC0-5+AC0-4+AC0-3+AC0-2+AC0-1+AC0-0,0,0,600586,3731,17688,176003,0,0,18,581,2405,14117,89683,0,0,3,418,5,36,114,0,0,3,14,2405,3332,89683,0,0,3,418
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet8,8,DICF+AC0-PB+AC0-Star,0,0,600612,16436,77725,735993,0,0,60,18985,15870,76580,730975,0,0,30,18598,0,0,0,0,0,2,0,15870,76580,730975,0,0,30,18598
PUZ012+AC0-1.C1i2+AF8-all+AF8-ld2+AC0-2,+AF8-kmet8,8,DICF+AC0-PB+AC0-Star+AC0-FixedRoot+AC0-1,0,0,600688,51928,228493,31475042,0,0,66,21765,33875,152264,30675644,0,0,33,21349,19,56,189,0,0,4,3,32,56,272,0,0,4,24
